"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","childLN","Child's line number"
"4","UF4","Mother / Caretaker's line number"
"5","BD2","Child ever been breastfed"
"6","BD3","Child still being breastfed"
"7","CA1","Child had diarrhoea in last 2 weeks"
"8","CA14","Child ill with fever in last 2 weeks"
"9","CA16","Child ill with cough in last 2 weeks"
"10","CA17","Difficulty breathing during illness with cough"
"11","CA18","Symptoms due to problem in chest or blocked nose"
"12","CA20","Sought advice or treatment for illness"
"13","HL4","Sex"
"14","CAGED","Age (in days)"
"15","HAZ2","Height for age z-score WHO"
"16","WAZ2","Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Mother's education"
"22","HINT","Household interviewer number"
"23","HH3","Interviewer number"
"24","HH4","Supervisor number"
"25","HH5D","Day of interview"
"26","HH5M","Month of interview"
"27","HH5Y","Year of interview"
"28","area_type","Area"
"29","region","Division"
"30","HH7A","District"
"31","HH_selected_household","HH selected for Water Quality Testing (Arsenic HH)"
"32","HH9A","HH selected for Water Quality Testing (E.Coli)"
"33","HH9B","HH selected for Water Quality Testing (Arsenic source)"
"34","HH_selected_blank","HH selected for Blank Testing"
"35","HH11H","Start of interview - Hour"
"36","HH11M","Start of interview - Minutes"
"37","HH12","Consent"
"38","HH46","Result of HH interview"
"39","HH13H","End of interview - Hour"
"40","HH13M","End of interview - Minutes"
"41","HH14","Language of the Questionnaire"
"42","HH15","Language of the Interview"
"43","HH16","Native language of the Respondent"
"44","HH17","Translator used"
"45","HH26A","Rank number of the selected child"
"46","HH26B","Child line number"
"47","HH26C","Child's age"
"48","HH33X.01","Roster to check the consent for interview girls 15-17"
"49","HH33X.02","Roster to check the consent for interview girls 15-17"
"50","HH33X.03","Roster to check the consent for interview girls 15-17"
"51","HH33X.04","Roster to check the consent for interview girls 15-17"
"52","HH33X.05","Roster to check the consent for interview girls 15-17"
"53","HH33X.06","Roster to check the consent for interview girls 15-17"
"54","HH33X.07","Roster to check the consent for interview girls 15-17"
"55","HH33X.08","Roster to check the consent for interview girls 15-17"
"56","HH33X.09","Roster to check the consent for interview girls 15-17"
"57","HH33X.10","Roster to check the consent for interview girls 15-17"
"58","HH33X.11","Roster to check the consent for interview girls 15-17"
"59","HH33X.12","Roster to check the consent for interview girls 15-17"
"60","HH33X.13","Roster to check the consent for interview girls 15-17"
"61","HH33X.14","Roster to check the consent for interview girls 15-17"
"62","HH33X.15","Roster to check the consent for interview girls 15-17"
"63","HH33X.16","Roster to check the consent for interview girls 15-17"
"64","HH33X.17","Roster to check the consent for interview girls 15-17"
"65","HH33X.18","Roster to check the consent for interview girls 15-17"
"66","HH33X.19","Roster to check the consent for interview girls 15-17"
"67","HH33X.20","Roster to check the consent for interview girls 15-17"
"68","HH33X.21","Roster to check the consent for interview girls 15-17"
"69","HH33X.22","Roster to check the consent for interview girls 15-17"
"70","HH33X.23","Roster to check the consent for interview girls 15-17"
"71","HH33X.24","Roster to check the consent for interview girls 15-17"
"72","HH33X.25","Roster to check the consent for interview girls 15-17"
"73","HH33X.26","Roster to check the consent for interview girls 15-17"
"74","HH33X.27","Roster to check the consent for interview girls 15-17"
"75","HH33X.28","Roster to check the consent for interview girls 15-17"
"76","HH33X.29","Roster to check the consent for interview girls 15-17"
"77","HH33X.30","Roster to check the consent for interview girls 15-17"
"78","HH33X.31","Roster to check the consent for interview girls 15-17"
"79","HH33X.32","Roster to check the consent for interview girls 15-17"
"80","HH33X.33","Roster to check the consent for interview girls 15-17"
"81","HH33X.34","Roster to check the consent for interview girls 15-17"
"82","HH33X.35","Roster to check the consent for interview girls 15-17"
"83","HH33X.36","Roster to check the consent for interview girls 15-17"
"84","HH33X.37","Roster to check the consent for interview girls 15-17"
"85","HH33X.38","Roster to check the consent for interview girls 15-17"
"86","HH33X.39","Roster to check the consent for interview girls 15-17"
"87","HH33X.40","Roster to check the consent for interview girls 15-17"
"88","HH33X.41","Roster to check the consent for interview girls 15-17"
"89","HH33X.42","Roster to check the consent for interview girls 15-17"
"90","HH33X.43","Roster to check the consent for interview girls 15-17"
"91","HH33X.44","Roster to check the consent for interview girls 15-17"
"92","HH33X.45","Roster to check the consent for interview girls 15-17"
"93","HH33X.46","Roster to check the consent for interview girls 15-17"
"94","HH33X.47","Roster to check the consent for interview girls 15-17"
"95","HH33X.48","Roster to check the consent for interview girls 15-17"
"96","HH33X.49","Roster to check the consent for interview girls 15-17"
"97","HH33X.50","Roster to check the consent for interview girls 15-17"
"98","HH33","Consent for interview girls 15-17"
"99","HH44","Consent for Water Quality Testing"
"100","HH47","Respondent to HH questionnaire"
"101","HH48","Number of HH members"
"102","HH49","Number of women 15-49 years"
"103","HH51","Number of children under age 5"
"104","HH52","Number of children age 5-17"
"105","INTROHL","Introduction HH Listing"
"106","HHAUX","Other household members"
"107","HHWQ","Water Quality prompt"
"108","HHFIN","Finish"
"109","HC1A","Religion of household head"
"110","HC1B","Language of household head"
"111","HC2","Ethnic group of household head"
"112","HC3","Number of rooms used for sleeping"
"113","HC4","Main material of floor"
"114","HC5","Main material of roof"
"115","HC6","Main material of exterior wall"
"116","HC7A","Household have: Fixed telephone line"
"117","HC7B","Household have: Radio"
"118","HC7C","Household have: Cot/Bed"
"119","HC7D","Household have: Table/Chair"
"120","HC7E","Household have: Almirah/wardrobe"
"121","HC7F","Household have: Sofa set"
"122","HC7G","Household have: Water Filter/Dispenser"
"123","HC8","Household have electricity"
"124","HC9A","Household have: Television"
"125","HC9B","Household have: Refrigerator/Freezer"
"126","HC9C","Household have: Air Conditioner"
"127","HC9D","Household have: Washing Machine"
"128","HC9E","Household have: Electric Water Pump"
"129","HC9F","Household have: Electric Fan"
"130","HC10A","Any member of household own: Wristwatch"
"131","HC10B","Any member of household own: Bicycle"
"132","HC10C","Any member of household own: Motorcycle or scooter"
"133","HC10D","Any member of household own: Animal-drawn cart"
"134","HC10E","Any member of household own: Bus, Car, truck or covered van"
"135","HC10F","Any member of household own: Boat with motor"
"136","HC10G","Any member of household own: Rickshaw or Rickshaw Van"
"137","HC10H","Any member of household own: Nasiman/ Kariman/ Votbati"
"138","HC10I","Any member of household own: Easy Bike/Auto Bike"
"139","HC10J","Any member of household own: Country boat (without motor)"
"140","HC11","Any member have a computer"
"141","HC12","Any member have a mobile phone"
"142","HC13","Internet access at home"
"143","HC14","Household owns the dwelling"
"144","HC15","Any household member own land that can be used for agriculture"
"145","HC16","Decimal of agricultural land members of household owns"
"146","HC17","Household own any animals"
"147","HC18A","Cows or bulls"
"148","HC18B","Water buffalo/goail"
"149","HC18C","Horses, donkeys or mules"
"150","HC18D","Goats"
"151","HC18E","Sheep"
"152","HC18F","Chickens"
"153","HC18G","Pigs"
"154","HC18H","Ducks"
"155","HC18I","Pigeons"
"156","HC19","Any household member own bank account"
"157","ST2.1","Aware of (name of programme)"
"158","ST2.2","Aware of (name of programme)"
"159","ST2.3","Aware of (name of programme)"
"160","ST2.4","Aware of (name of programme)"
"161","ST2.5","Aware of (name of programme)"
"162","ST2.6","Aware of (name of programme)"
"163","ST3.1","Received assistance through (name of programme)"
"164","ST3.2","Received assistance through (name of programme)"
"165","ST3.3","Received assistance through (name of programme)"
"166","ST3.4","Received assistance through (name of programme)"
"167","ST3.5","Received assistance through (name of programme)"
"168","ST3.6","Received assistance through (name of programme)"
"169","ST4U.1","Last time assistance was received (unit)"
"170","ST4U.2","Last time assistance was received (unit)"
"171","ST4U.3","Last time assistance was received (unit)"
"172","ST4U.4","Last time assistance was received (unit)"
"173","ST4U.5","Last time assistance was received (unit)"
"174","ST4U.6","Last time assistance was received (unit)"
"175","ST4N.1","Last time assistance was received (number)"
"176","ST4N.2","Last time assistance was received (number)"
"177","ST4N.3","Last time assistance was received (number)"
"178","ST4N.4","Last time assistance was received (number)"
"179","ST4N.5","Last time assistance was received (number)"
"180","ST4N.6","Last time assistance was received (number)"
"181","EU1","Type of cookstove mainly used for cooking"
"182","EU2","Cookstove have a chimney"
"183","EU3","Cookstove have a fan"
"184","EU4","Type of energy source for cookstove"
"185","EU5","Place for cooking"
"186","EU9","Type of lighting in household"
"187","WS1","Main source of drinking water"
"188","WS2","Main source of water used for other purposes (if bottled water used for drinking)"
"189","WS3","Location of the water source"
"190","WS4","Time (in minutes) to get water and come back"
"191","WS5","Person collecting water"
"192","WS6","Number of times person collected water in the last seven days"
"193","WS7","There been any time in the last month without sufficient water"
"194","WS8","Main reason without sufficient water"
"195","WS9","Treat water to make safer for drinking"
"196","WS10A","Water treatment: Boil"
"197","WS10B","Water treatment: Add bleach/chlorine"
"198","WS10C","Water treatment: Strain it through a cloth"
"199","WS10D","Water treatment: Use water filter"
"200","WS10E","Water treatment: Solar disinfection"
"201","WS10F","Water treatment: Let it stand and settle"
"202","WS10X","Water treatment: Other"
"203","WS10Z","Water treatment: DK"
"204","WS10NR","Water treatment: No response"
"205","WS11","Type of toilet facility"
"206","WS12","Pit latrine or septic tank ever been emptied"
"207","WS13","Place the contents were emptied"
"208","WS14","Location of the toilet faciltity"
"209","WS15","Toilet facility shared"
"210","WS16","Toilet shared with other household or with general public"
"211","WS17","Households using this toilet facility"
"212","HW1","Place where household members most often wash their hands"
"213","HW2","Water available at the place for handwashing"
"214","HW3","Soap or detergent present at place of handwashing"
"215","HW4","Usual place for handwashing"
"216","HW5","Soap/other material available for washing hands"
"217","HW6","Hand washing material shown"
"218","HW7A","Bar or liquid soap"
"219","HW7B","Detergent (Powder / Liquid / Paste)"
"220","HW7C","Ash / Mud / Sand"
"221","HW7NR","No response"
"222","SA1","Salt iodization test outcome"
"223","SA2","Salt iodization recheck test outcome"
"224","WQ1","Cluster number"
"225","WQ2","Household number"
"226","measurer_id","Measurer number"
"227","WQ4","Interviewer number"
"228","WQ5D","Day of water quality test"
"229","WQ5M","Month of water quality test"
"230","WQ5Y","Year of water quality test"
"231","WQ5A","HH selected for household Arsenic testing"
"232","WQ5B","HH selected for E.coli testing"
"233","WQ5C","HH selected for source Arsenic testing"
"234","WQ6","HH selected for blank testing"
"235","WQ7","Respondent to water quality testing questionnaire"
"236","WQ8","Consent for water quality test"
"237","WQ31","Result of water quality test"
"238","WQ10H","Start of water quality test - Hour"
"239","WQ10M","Start of water quality test - Minutes"
"240","WQ23H","End of water quality test - Hour"
"241","WQ23M","End of water quality test - Minutes"
"242","HH_water_sample_provided","A glass of water that you would give to a child to drink was provided"
"243","observe_HH_sample_collection","Water was collected from the source"
"244","WQ12A","Result of Arsenic test from Household water (in PPB)"
"245","WQ14","Done anything to the water to make it safer to drink"
"246","WQ15A","Water treatment: Boil"
"247","WQ15B","Water treatment: Add bleach/chlorine"
"248","WQ15C","Water treatment: Strain it through a cloth"
"249","WQ15D","Water treatment: Use water filter"
"250","WQ15E","Water treatment: Solar disinfection"
"251","WQ15F","Water treatment: Let it stand and settle"
"252","WQ15X","Water treatment: Other"
"253","WQ15Z","Water treatment: DK"
"254","WQ15NR","Water treatment: No response"
"255","source_HH_sample","Source of water where the glass of water was collected"
"256","permission_water_sample_SC","Main source of water was shown"
"257","EC_SC_tst_conducted","Source water sample for E.Coli collected"
"258","WQ19B","Source water sample for arsenic source testing"
"259","WQ19C","Result of Arsenic test from source water (in PPB)"
"260","WQ20A","Blank water test available for Arsenic"
"261","WQ20B","Result of Arsenic test from Sterile water (in PPB)"
"262","EC_BK_tst_conducted","Blank water test available for E.Coli"
"263","WQ24D","Day of recording test results"
"264","WQ24M","Month of recording test results"
"265","WQ24Y","Year of recording test results"
"266","WQ25H","Time of recording test results - Hour"
"267","WQ25M","Time of recording test results - Minutes"
"268","EC_100_H","Household water test (100ml)"
"269","EC_100_S","Source water test (100ml)"
"270","EC_100_B","Blank water test (100ml)"
"271","hhsex","Sex of household head"
"272","HHAGE","Age of household head"
"273","HH53","Number of woman' questionnaires completed"
"274","HH55","Number of under - 5 questionnaires completed"
"275","HH56","Number of CF questionnaires completed (age 5-17)"
"276","ethnicity","Ethnicity of household head"
"277","helevel","Education of household head"
"278","wscore","Combined wealth score"
"279","windex5","Wealth index quintile"
"280","windex10","Percentile Group of com1"
"281","wscoreu","Urban wealth score"
"282","windex5u","Urban wealth index quintile"
"283","windex10u","Percentile Group of urb1"
"284","wscorer","Rural wealth score"
"285","windex5r","Rural wealth index quintile"
"286","windex10r","Percentile Group of rur1"
"287","hhweight","Household sample weight"
"288","wqhaweight","Weight for household WQT-Arsenic"
"289","wqeweight","Weight for WQT E.coli household and source"
"290","wqsaweight","Weight for WQT Arsenic  source"
"291","stratum","Stratum"
"292","PSU","Primary sampling unit"
"293","area_type_lab","Area"
"294","region_lab","Division"
"295","HH7A_lab","District"
"296","HH_selected_household_lab","HH selected for Water Quality Testing (Arsenic HH)"
"297","HH9A_lab","HH selected for Water Quality Testing (E.Coli)"
"298","HH9B_lab","HH selected for Water Quality Testing (Arsenic source)"
"299","HH_selected_blank_lab","HH selected for Blank Testing"
"300","HH12_lab","Consent"
"301","HH46_lab","Result of HH interview"
"302","HH14_lab","Language of the Questionnaire"
"303","HH15_lab","Language of the Interview"
"304","HH16_lab","Native language of the Respondent"
"305","HH17_lab","Translator used"
"306","HH26B_lab","Child line number"
"307","HH33X.01_lab","Roster to check the consent for interview girls 15-17"
"308","HH33X.02_lab","Roster to check the consent for interview girls 15-17"
"309","HH33X.03_lab","Roster to check the consent for interview girls 15-17"
"310","HH33X.04_lab","Roster to check the consent for interview girls 15-17"
"311","HH33X.05_lab","Roster to check the consent for interview girls 15-17"
"312","HH33X.06_lab","Roster to check the consent for interview girls 15-17"
"313","HH33X.07_lab","Roster to check the consent for interview girls 15-17"
"314","HH33X.08_lab","Roster to check the consent for interview girls 15-17"
"315","HH33X.09_lab","Roster to check the consent for interview girls 15-17"
"316","HH33X.10_lab","Roster to check the consent for interview girls 15-17"
"317","HH33X.11_lab","Roster to check the consent for interview girls 15-17"
"318","HH33X.12_lab","Roster to check the consent for interview girls 15-17"
"319","HH33X.13_lab","Roster to check the consent for interview girls 15-17"
"320","HH33X.14_lab","Roster to check the consent for interview girls 15-17"
"321","HH33X.15_lab","Roster to check the consent for interview girls 15-17"
"322","HH33X.16_lab","Roster to check the consent for interview girls 15-17"
"323","HH33X.17_lab","Roster to check the consent for interview girls 15-17"
"324","HH33X.18_lab","Roster to check the consent for interview girls 15-17"
"325","HH33X.19_lab","Roster to check the consent for interview girls 15-17"
"326","HH33X.20_lab","Roster to check the consent for interview girls 15-17"
"327","HH33X.21_lab","Roster to check the consent for interview girls 15-17"
"328","HH33X.22_lab","Roster to check the consent for interview girls 15-17"
"329","HH33X.23_lab","Roster to check the consent for interview girls 15-17"
"330","HH33X.24_lab","Roster to check the consent for interview girls 15-17"
"331","HH33X.25_lab","Roster to check the consent for interview girls 15-17"
"332","HH33X.26_lab","Roster to check the consent for interview girls 15-17"
"333","HH33X.27_lab","Roster to check the consent for interview girls 15-17"
"334","HH33X.28_lab","Roster to check the consent for interview girls 15-17"
"335","HH33X.29_lab","Roster to check the consent for interview girls 15-17"
"336","HH33X.30_lab","Roster to check the consent for interview girls 15-17"
"337","HH33X.31_lab","Roster to check the consent for interview girls 15-17"
"338","HH33X.32_lab","Roster to check the consent for interview girls 15-17"
