"","name","label"
"1","clust_num","Numéro de la grappe"
"2","HH_num","Numéro du ménage"
"3","childLN","Numéro de ligne de l'enfant"
"4","UF4","Numéro de la mère / gardienne"
"5","BD2","A été allaité"
"6","BD3","Est toujours allaité"
"7","CA1","A eu la diarrhée au cours des deux dernières semaines"
"8","CA14","Au cours des deux dernières semaines, l'enfant a été malade avec de la fièvre"
"9","CA16","Au cours des deux dernières semaines, l'enfant a eu une maladie avec de la toux"
"10","CA17","Au cours des deux dernières semaines, l'enfant a eu une respiration rapide et forte ou des difficultés à respirer"
"11","CA18","La respiration rapide ou les difficultés respiratoires étaient dues à un problème de bronches, ou à un nez bouché ou qui coulait"
"12","CA20","Recherche des conseils ou un traitement pour la maladie quelque part "
"13","HL4","Sexe"
"14","CAGED","Age en jour"
"15","HAZ2","Height for age z-score WHO"
"16","WAZ2","Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Niveau d'instruction de la mère"
"22","HH3","Numéro de l'enquêteur"
"23","HH4","Numéro du chef d'équipe"
"24","HH5D","Jour de l'interview"
"25","HH5M","Mois de l'interview"
"26","HH5Y","Année de l'interview"
"27","area_type","Milieu de résidence"
"28","region","Région"
"29","HH8","Ménage sélectionné pour enquête Homme"
"30","HH_selected_household","Ménage est selectionné pour le test de l'eau"
"31","HH_selected_blank","Ménage est selectionné pour le test à blanc"
"32","HH11H","Début de l'interview - Heures"
"33","HH11M","Début de l'interview - Minutes"
"34","HH12","Consentement"
"35","HH46","Résultat de l'interview du ménage"
"36","HH13H","Fin de l'interview - Heure"
"37","HH13M","Fin de l'interview - Minutes"
"38","HH14","Langue du questionnaire"
"39","HH15","Langue de l'interview"
"40","HH16","Langue maternelle du/de la répondant(e)"
"41","HH17","Traducteur utilisé"
"42","HH26A","Numéro du rang de l'enfant sélectionné"
"43","HH26B","Numéro de ligne de l'enfant"
"44","HH26C","Age de l'enfant"
"45","HH33","Consentement pour interviewer les filles de 15 - 17 ans"
"46","HH39","Consentement pour interviewer les garçons de 15 - 17 ans"
"47","HH44","Consentement pour le test de qualité de l'eau"
"48","HH47","Répondant(e) au questionnaire ménage"
"49","HH48","Nombre de membres du ménage"
"50","HH49","Nombre de femmes de 15 - 49 ans"
"51","HH50","Nombre d'hommes de 15 - 49 ans (Si le ménage est sélectionné pour le questionnaire homme)"
"52","HH51","Nombre d'enfants de moins de 5 ans"
"53","HH52","Nombre d'enfants de 5 - 17 ans"
"54","HH53","Nombre de questionnaires femmes complétés"
"55","HH54","Nombre de questionnaires hommes complétés (Si le ménage est sélectionné pour le questionnaire homme)"
"56","HH50A","Nombre d'hommes 15 - 49 ans dans les ménages interviewés"
"57","HH55","Nombre de questionnaires d'enfants de moins de 5 ans complétés"
"58","HH56","Nombre de questionnaires d'enfants de 5 - 17 ans complétés"
"59","INTROHL","Introduction - Liste des membres du ménage"
"60","HHAUX","Autres membres du ménage"
"61","HHWQ","Permission pour le test de qualité de l'eau"
"62","HHFIN","Fin interview"
"63","HC1A","Religion du chef de ménage"
"64","HC1B","Langue maternelle du chef de ménage"
"65","HC2","Groupe ethnique du chef de ménage"
"66","HC3","Nombre de chambres utilisées pour dormir"
"67","HC4","Matériau principal du sol"
"68","HC5","Matériau principal du toit"
"69","HC6","Matériau principal des murs extérieurs"
"70","HC7A","Le ménage a : Ligne de téléphone fixe"
"71","HC7B","Le ménage a : Radio"
"72","HC7C","Le ménage a : Réchaud/Cuisinière à gaz"
"73","HC7D","Le ménage a : Foyer amélioré"
"74","HC7E","Le ménage a : Machine à coudre mécanique"
"75","HC7F","Le ménage a : Fer à repasser à charbon"
"76","HC8","Le ménage a : Electricité"
"77","HC9A","Le ménage a : Télévision"
"78","HC9B","Le ménage a : Réfrigérateur"
"79","HC9C","Le ménage a : Congélateur"
"80","HC9D","Le ménage a : Ventilateur"
"81","HC9E","Le ménage a : Antenne parabolique/décodeur"
"82","HC9F","Le ménage a : Chaine HI-FI"
"83","HC9G","Le ménage a : Machine à coudre électrique"
"84","HC9H","Le ménage a : Fer à repasser électrique"
"85","HC10A","Un membre du ménage possède : Montre"
"86","HC10B","Un membre du ménage possède : Bicyclette/vélo"
"87","HC10C","Un membre du ménage possède : Mobylette ou un scooter"
"88","HC10D","Un membre du ménage possède : Taxi moto"
"89","HC10E","Un membre du ménage possède : Charrette tirée par un animal"
"90","HC10F","Un membre du ménage possède : Voiture personnelle"
"91","HC10G","Un membre du ménage possède : Taxi de ville ou taxi de brousse"
"92","HC10H","Un membre du ménage possède : Camionnette"
"93","HC10I","Un membre du ménage possède : Camion remorque"
"94","HC10J","Un membre du ménage possède : Bateau à moteur"
"95","HC10K","Un membre du ménage possède : Pinasse à moteur"
"96","HC10L","Un membre du ménage possède : Pirogue à moteur"
"97","HC10M","Un membre du ménage possède : Pirogue à motricité humaine"
"98","HC10N","Un membre du ménage possède : Pulvérisateur"
"99","HC10O","Un membre du ménage possède : Motopompe"
"100","HC10P","Un membre du ménage possède : Décortiqueuse"
"101","HC10Q","Un membre du ménage possède : Moulin à manioc/maïs"
"102","HC10R","Un membre du ménage possède : Pousse-pousse/brouette"
"103","HC11","Un membre du ménage possède : Ordinateur"
"104","HC12","Un membre du ménage possède : Téléphone mobile"
"105","HC13","Accès à internet à la maison"
"106","HC14","Le ménage est propriétaire du logement"
"107","HC15","Un membre du ménage possède une terre qui peut être utilisée pour l'agriculture"
