"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","childLN","Child's line number"
"4","UF4","Mother / Caretaker's line number"
"5","BD2","Child ever been breastfed"
"6","BD3","Child still being breastfed"
"7","CA1","Child had diarrhoea in last 2 weeks"
"8","CA14","Child ill with fever in last 2 weeks"
"9","CA16","Child ill with cough in last 2 weeks"
"10","CA17","Difficulty breathing during illness with cough"
"11","CA18","Symptoms due to problem in chest or blocked nose"
"12","CA20","Sought advice or treatment for illness"
"13","HL4","Sex"
"14","CAGED","Age (in days)"
"15","HAZ2","Height for age z-score WHO"
"16","WAZ2","Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Mother's education"
"22","HH3","Interviewer number"
"23","HH4","Supervisor number"
"24","HH5D","Day of interview"
"25","HH5M","Month of interview"
"26","HH5Y","Year of interview"
"27","area_type","Area"
"28","region","Region"
"29","HH8","HH selected for Questionnaire for Men"
"30","HH_selected_household","HH selected for Water Quality Testing"
"31","HH_selected_blank","HH selected for Blank Testing"
"32","HH11H","Start of interview - Hour"
"33","HH11M","Start of interview - Minutes"
"34","HH12","Consent"
"35","HH46","Result of HH interview"
"36","HH13H","End of interview - Hour"
"37","HH13M","End of interview - Minutes"
"38","HH14","Language of the Questionnaire"
"39","HH15","Language of the Interview"
"40","HH16","Native language of the Respondent"
"41","HH17","Translator used"
"42","HH26A","Rank number of the selected child"
"43","HH26B","Child line number"
"44","HH26C","Child's age"
"45","HH30GA","Rank number of the selected woman"
"46","HH30GB","Woman line number"
"47","HH30GC","Woman's age"
"48","HH33X.01","Roster to check the consent for interview girls 15-17"
"49","HH33X.02","Roster to check the consent for interview girls 15-17"
"50","HH33X.03","Roster to check the consent for interview girls 15-17"
"51","HH33X.04","Roster to check the consent for interview girls 15-17"
"52","HH33X.05","Roster to check the consent for interview girls 15-17"
"53","HH33X.06","Roster to check the consent for interview girls 15-17"
"54","HH33X.07","Roster to check the consent for interview girls 15-17"
"55","HH33X.08","Roster to check the consent for interview girls 15-17"
"56","HH33X.09","Roster to check the consent for interview girls 15-17"
"57","HH33X.10","Roster to check the consent for interview girls 15-17"
"58","HH33X.11","Roster to check the consent for interview girls 15-17"
"59","HH33X.12","Roster to check the consent for interview girls 15-17"
"60","HH33X.13","Roster to check the consent for interview girls 15-17"
"61","HH33X.14","Roster to check the consent for interview girls 15-17"
"62","HH33X.15","Roster to check the consent for interview girls 15-17"
"63","HH33X.16","Roster to check the consent for interview girls 15-17"
"64","HH33X.17","Roster to check the consent for interview girls 15-17"
"65","HH33X.18","Roster to check the consent for interview girls 15-17"
"66","HH33X.19","Roster to check the consent for interview girls 15-17"
"67","HH33X.20","Roster to check the consent for interview girls 15-17"
"68","HH33X.21","Roster to check the consent for interview girls 15-17"
"69","HH33X.22","Roster to check the consent for interview girls 15-17"
"70","HH33X.23","Roster to check the consent for interview girls 15-17"
"71","HH33X.24","Roster to check the consent for interview girls 15-17"
"72","HH33X.25","Roster to check the consent for interview girls 15-17"
"73","HH33X.26","Roster to check the consent for interview girls 15-17"
"74","HH33X.27","Roster to check the consent for interview girls 15-17"
"75","HH33X.28","Roster to check the consent for interview girls 15-17"
"76","HH33X.29","Roster to check the consent for interview girls 15-17"
"77","HH33X.30","Roster to check the consent for interview girls 15-17"
"78","HH33X.31","Roster to check the consent for interview girls 15-17"
"79","HH33X.32","Roster to check the consent for interview girls 15-17"
"80","HH33X.33","Roster to check the consent for interview girls 15-17"
"81","HH33X.34","Roster to check the consent for interview girls 15-17"
"82","HH33X.35","Roster to check the consent for interview girls 15-17"
"83","HH33X.36","Roster to check the consent for interview girls 15-17"
"84","HH33X.37","Roster to check the consent for interview girls 15-17"
"85","HH33X.38","Roster to check the consent for interview girls 15-17"
"86","HH33X.39","Roster to check the consent for interview girls 15-17"
"87","HH33X.40","Roster to check the consent for interview girls 15-17"
"88","HH33X.41","Roster to check the consent for interview girls 15-17"
"89","HH33X.42","Roster to check the consent for interview girls 15-17"
"90","HH33X.43","Roster to check the consent for interview girls 15-17"
"91","HH33X.44","Roster to check the consent for interview girls 15-17"
"92","HH33X.45","Roster to check the consent for interview girls 15-17"
"93","HH33X.46","Roster to check the consent for interview girls 15-17"
"94","HH33X.47","Roster to check the consent for interview girls 15-17"
"95","HH33X.48","Roster to check the consent for interview girls 15-17"
"96","HH33X.49","Roster to check the consent for interview girls 15-17"
"97","HH33X.50","Roster to check the consent for interview girls 15-17"
"98","HH33","Consent for interview girls 15-17"
"99","HH39X.01","Roster to check the consent for interview boys 15-17"
"100","HH39X.02","Roster to check the consent for interview boys 15-17"
"101","HH39X.03","Roster to check the consent for interview boys 15-17"
"102","HH39X.04","Roster to check the consent for interview boys 15-17"
"103","HH39X.05","Roster to check the consent for interview boys 15-17"
"104","HH39X.06","Roster to check the consent for interview boys 15-17"
"105","HH39X.07","Roster to check the consent for interview boys 15-17"
"106","HH39X.08","Roster to check the consent for interview boys 15-17"
"107","HH39X.09","Roster to check the consent for interview boys 15-17"
"108","HH39X.10","Roster to check the consent for interview boys 15-17"
"109","HH39X.11","Roster to check the consent for interview boys 15-17"
"110","HH39X.12","Roster to check the consent for interview boys 15-17"
"111","HH39X.13","Roster to check the consent for interview boys 15-17"
"112","HH39X.14","Roster to check the consent for interview boys 15-17"
"113","HH39X.15","Roster to check the consent for interview boys 15-17"
"114","HH39X.16","Roster to check the consent for interview boys 15-17"
"115","HH39X.17","Roster to check the consent for interview boys 15-17"
"116","HH39X.18","Roster to check the consent for interview boys 15-17"
"117","HH39X.19","Roster to check the consent for interview boys 15-17"
"118","HH39X.20","Roster to check the consent for interview boys 15-17"
"119","HH39X.21","Roster to check the consent for interview boys 15-17"
"120","HH39X.22","Roster to check the consent for interview boys 15-17"
"121","HH39X.23","Roster to check the consent for interview boys 15-17"
"122","HH39X.24","Roster to check the consent for interview boys 15-17"
"123","HH39X.25","Roster to check the consent for interview boys 15-17"
"124","HH39X.26","Roster to check the consent for interview boys 15-17"
"125","HH39X.27","Roster to check the consent for interview boys 15-17"
"126","HH39X.28","Roster to check the consent for interview boys 15-17"
"127","HH39X.29","Roster to check the consent for interview boys 15-17"
"128","HH39X.30","Roster to check the consent for interview boys 15-17"
"129","HH39X.31","Roster to check the consent for interview boys 15-17"
"130","HH39X.32","Roster to check the consent for interview boys 15-17"
"131","HH39X.33","Roster to check the consent for interview boys 15-17"
"132","HH39X.34","Roster to check the consent for interview boys 15-17"
"133","HH39X.35","Roster to check the consent for interview boys 15-17"
"134","HH39X.36","Roster to check the consent for interview boys 15-17"
"135","HH39X.37","Roster to check the consent for interview boys 15-17"
"136","HH39X.38","Roster to check the consent for interview boys 15-17"
"137","HH39X.39","Roster to check the consent for interview boys 15-17"
"138","HH39X.40","Roster to check the consent for interview boys 15-17"
"139","HH39X.41","Roster to check the consent for interview boys 15-17"
"140","HH39X.42","Roster to check the consent for interview boys 15-17"
"141","HH39X.43","Roster to check the consent for interview boys 15-17"
"142","HH39X.44","Roster to check the consent for interview boys 15-17"
"143","HH39X.45","Roster to check the consent for interview boys 15-17"
"144","HH39X.46","Roster to check the consent for interview boys 15-17"
"145","HH39X.47","Roster to check the consent for interview boys 15-17"
"146","HH39X.48","Roster to check the consent for interview boys 15-17"
"147","HH39X.49","Roster to check the consent for interview boys 15-17"
"148","HH39X.50","Roster to check the consent for interview boys 15-17"
"149","HH39","Consent for interview boys 15-17"
"150","HH44","Consent for Water Quality Testing"
"151","HH44B","Consent for phone survey"
"152","HH44C","Have personal or communal phone number"
"153","HH44D","Introduction for collecting phone number"
"154","HH47","Respondent to HH questionnaire"
"155","HH48","Number of HH members"
"156","HH49","Number of women 15-49 years"
"157","HH50","Number of men 15-49 years [If household is selected for Questionnaire for Men]"
"158","HH51","Number of children under age 5"
"159","HH52","Number of children age 5-17"
"160","INTROHL","Introduction HH Listing"
"161","HHAUX","Other household members"
"162","HHWQ","Water Quality prompt"
"163","HHFIN","Finish"
"164","HC1A","Religion of household head"
"165","HC1B","Language of household head"
"166","HC3","Number of rooms used for sleeping"
"167","HC4","Main material of floor"
"168","HC5","Main material of roof"
"169","HC6","Main material of exterior wall"
"170","HC7A","Household have: Fixed telephone line"
"171","HC7B","Household have: Radio"
"172","HC7C","Household have: Table"
"173","HC7D","Household have: Chair"
"174","HC7E","Household have: Wardrobe"
"175","HC7F","Household have: Bed"
"176","HC7G","Household have: Sofa"
"177","HC7H","Household have: Cupboard (Likhabethe)"
"178","HC7I","Household have: Manual grinding machine (Ibhetali)"
"179","HC7J","Household have: Non-electric iron (Umbhaceko/yemalahle)"
"180","HC7K","Household have: Paraffin stove"
"181","HC7L","Household have: Cooking stand (Lidelefudi)"
"182","HC7M","Household have: Bush knife"
"183","HC7N","Household have: Sleeping mat (Licansi)"
"184","HC8","Household have: Electricity"
"185","HC9A","Household have: Television"
"186","HC9B","Household have: Electric refrigerator"
"187","HC9C","Household have: Electric stove"
"188","HC9D","Household have: Geyser"
"189","HC9E","Household have: Fan"
"190","HC9F","Household have: Food blender"
"191","HC9G","Household have: Electric kettle"
"192","HC9H","Household have: Electric iron"
"193","HC9I","Household have: Hot plate"
"194","HC9J","Household have: Water heater element / bucket"
"195","HC10A","Any member of household own: Wristwatch"
"196","HC10B","Any member of household own: Bicycle"
"197","HC10C","Any member of household own: Motorcycle or scooter"
"198","HC10D","Any member of household own: Animal-drawn cart"
"199","HC10E","Any member of household own: Car, truck or van"
"200","HC10F","Any member of household own: Boat with motor"
"201","HC10G","Any member of household own: Tractor"
"202","HC10H","Any member of household own: Animal drawn plough"
"203","HC10I","Any member of household own: Wheelbarrow"
"204","HC10J","Any member of household own: Hoe"
"205","HC11","Any member have a computer"
"206","HC12","Any member have a mobile telephone"
"207","HC13","Internet access at home"
"208","HC13B","EBIS signal coverage in household's location"
"209","HC13C","Listen to EBIS"
"210","HC13E","Eswatini TV signal coverage in household's location"
"211","HC13F","Watch Eswatini TV"
"212","HC14","Household owns the dwelling"
"213","HC15","Any household member own land that can be used for agriculture"
"214","HC16","Hectares of agricultural land members of household owns"
"215","HC17","Household own any animals"
"216","HC18A","Milk cows or bulls"
"217","HC18B","Other cattle"
"218","HC18C","Horses, donkeys or mules"
"219","HC18D","Goats"
"220","HC18E","Sheep"
"221","HC18F","Chickens"
"222","HC18G","Pigs"
"223","HC18H","Ducks, geese, or turkeys"
"224","HC19","Any household member own bank account"
"225","ST2.1","Aware of (CASH-BASED TRANSFERS/ FOOD RATIONS PROGRAMME)"
"226","ST2.2","Aware of (BLANKET DISTIBUTION PROGRAMME)"
"227","ST2.3","Aware of (NEIGHBORHOOD CARE POINT FEEDING PROGRAMME)"
"228","ST2.4","Aware of (ANY OTHER EXTERNAL ASSISTANCE PROGRAMME FOR COVID-19 OUTBREAK)"
"229","ST3.1","Received assistance through (CASH-BASED TRANSFERS/ FOOD RATIONS PROGRAMME)"
"230","ST3.2","Received assistance through (BLANKET DISTIBUTION PROGRAMME)"
"231","ST3.3","Received assistance through (NEIGHBORHOOD CARE POINT FEEDING PROGRAMME)"
"232","ST3.4","Received assistance through (ANY OTHER EXTERNAL ASSISTANCE PROGRAMME FOR COVID-19 OUTBREAK)"
"233","ST4U.1","Last time assistance was received (unit)"
"234","ST4U.2","Last time assistance was received (unit)"
"235","ST4U.3","Last time assistance was received (unit)"
"236","ST4U.4","Last time assistance was received (unit)"
"237","ST4N.1","Last time assistance was received (number)"
"238","ST4N.2","Last time assistance was received (number)"
"239","ST4N.3","Last time assistance was received (number)"
"240","ST4N.4","Last time assistance was received (number)"
"241","EU1","Type of cookstove mainly used for cooking"
"242","EU2","Cookstove have a chimney"
"243","EU3","Cookstove have a fan"
"244","EU4","Type of energy source for cookstove"
"245","EU5","Place for cooking"
"246","EU6","Type of space heating in household"
"247","EU7","Space heater have a chimney"
"248","EU8","Type of energy source for heater"
"249","EU9","Type of lighting in household"
"250","WS1","Main source of drinking water"
"251","WS2","Main source of water used for other purposes (if bottled water used for drinking)"
"252","WS3","Location of the water source"
"253","WS4","Time (in minutes) to get water and come back"
"254","WS5","Person collecting water"
"255","WS6","Number of times person collected water in the last seven days"
"256","WS7","There been any time in the last month without sufficient water"
"257","WS8","Main reason without sufficient water"
"258","WS9","Treat water to make safer for drinking"
"259","WS10A","Water treatment: Boil"
"260","WS10B","Water treatment: Add jikbleach/chlorine"
"261","WS10C","Water treatment: Strain it through a cloth"
"262","WS10D","Water treatment: Use water filter"
"263","WS10E","Water treatment: Solar disinfection"
"264","WS10F","Water treatment: Let it stand and settle"
"265","WS10X","Water treatment: Other"
"266","WS10Z","Water treatment: DK"
"267","WS10NR","Water treatment: No response"
"268","WS10AA","Water consumption in the household"
"269","WS11","Type of toilet facility"
"270","WS12","Pit latrine or septic tank ever been emptied"
"271","WS13","Place the contents were emptied"
"272","WS14","Location of the toilet faciltity"
"273","WS15","Toilet facility shared"
"274","WS16","Toilet shared with other household or with general public"
"275","WS17","Households using this toilet facility"
"276","HW1","Place where household members most often wash their hands"
"277","HW2","Water available at the place for handwashing"
"278","HW3","Soap or detergent present at place of handwashing"
"279","HW4","Usual place for handwashing"
"280","HW5","Soap/other material available for washing hands"
"281","HW6","Hand washing material shown"
"282","HW7A","Bar soap"
"283","HW7B","Detergent (Powder / Liquid / Paste)"
"284","HW7C","Ash / Mud / Sand"
"285","HW7X","Other"
"286","HW7NR","No response"
"287","HW8","Not having sufficient water to wash hands when needed in last month"
"288","HW9","Main reason for not having sufficient water to wash hands when needed in last month"
"289","HW10","Not having sufficient soap to wash hands when needed in last month"
"290","HW11","Main reason for not having sufficient soap to wash hands when needed in last month"
"291","HS1","Number of members bitten by a snake in last 5 years"
"292","HS2","Line number of last member bitten by a snake"
"293","HS4","Victim still alive"
"294","HS5","Victim died as a consequence of the snakebite"
"295","HS6","Victim has permanent disability as a consequence of the snakebite"
"296","HS7","Victim recieved snakebite treatment"
"297","HS8A","Place where treated snakebite: Government Hospital"
"298","HS8B","Place where treated snakebite: Government Health Centre"
"299","HS8C","Place where treated snakebite: Government Clinic / PHU"
"300","HS8D","Place where treated snakebite: Mobile / Outreach Clinic"
"301","HS8E","Place where treated snakebite: Rural Health Motivator"
"302","HS8F","Place where treated snakebite: Other Public Medical"
"303","HS8G","Place where treated snakebite: Private Hospital / Clinic"
"304","HS8H","Place where treated snakebite: Private Physician"
"305","HS8I","Place where treated snakebite: Private Pharmacy/Chemist"
"306","HS8J","Place where treated snakebite: Mobile/ Outreach Clinic"
"307","HS8K","Place where treated snakebite: Other Private Medical"
"308","HS8L","Place where treated snakebite: Mission Hospital"
"309","HS8M","Place where treated snakebite: Mission Clinic"
"310","HS8N","Place where treated snakebite: Mission Outreach Site"
"311","HS8O","Place where treated snakebite: Other Mission Medical"
"312","HS8P","Place where treated snakebite: NGO Clinic"
"313","HS8Q","Place where treated snakebite: NGO Outreach Site"
"314","HS8R","Place where treated snakebite: Other NGO Medical"
"315","HS8S","Place where treated snakebite: DK Public, Private, Mission or NGO"
"316","HS8T","Place where treated snakebite: Relative / Friend / Neighbour / Own Home"
"317","HS8U","Place where treated snakebite: Shop / Market / Street"
"318","HS8V","Place where treated snakebite: Traditional Practitioner"
