"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","childLN","Child's line number"
"4","UF4","Mother / Caretaker's line number"
"5","BD2","Child ever been breastfed"
"6","BD3","Child still being breastfed"
"7","CA1","Child had diarrhoea in last 2 weeks"
"8","CA14","Child ill with fever in last 2 weeks"
"9","CA16","Child ill with cough in last 2 weeks"
"10","CA17","Difficulty breathing during illness with cough"
"11","CA18","Symptoms due to problem in chest or blocked nose"
"12","CA20","Sought advice or treatment for illness"
"13","HL4","Sex"
"14","CAGED","Age in days"
"15","HAZ2","Height for age z-score WHO"
"16","WAZ2","Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Mother?s education"
"22","HINT","Household interviewer number"
"23","HH3","Interviewer number"
"24","HH4","Supervisor number"
"25","HH5D","Day of interview"
"26","HH5M","Month of interview"
"27","HH5Y","Year of interview"
"28","area_type","Area"
"29","region","LGA"
"30","HH8","HH selected for Questionnaire for Men"
"31","HH_selected_household","HH selected for Water Quality Testing"
"32","HH_selected_blank","HH selected for blank testing"
"33","HH11H","Start of interview - Hour"
"34","HH11M","Start of interview - Minutes"
"35","HH12","Consent"
"36","HH46","Result of HH interview"
"37","HH13H","End of interview - Hour"
"38","HH13M","End of interview - Minutes"
"39","HH14","Language of the Questionnaire"
"40","HH15","Language of the Interview"
"41","HH16","Native language of the Respondent"
"42","HH17","Translator used"
"43","HH26A","Rank number of the selected child"
"44","HH26B","Child line number"
"45","HH26C","Child's age"
"46","HH33","Consent for interview girls 15-17"
"47","HH39","Consent for interview boys 15-17"
"48","HH44","Consent for Water Quality Testing"
"49","HH47","Respondent to HH questionnaire"
"50","HH48","Number of HH members"
"51","HH49","Number of women 15 - 49 years"
"52","HH50","Number of men 15 - 49 years [If household is selected for Questionnaire for Men]"
"53","HH50A","Number of men 15 - 49 years in interviewed households"
"54","HH51","Number of children under age 5"
"55","HH52","Number of children age 5-17"
"56","HH53","Number of woman' questionnaires completed"
"57","HH54","Number of man' questionnaires completed [If household is selected for Questionnaire for Men]"
"58","HH55","Number of under - 5 questionnaires completed"
"59","HH56","Number of CF questionnaires completed (age 5-17 years)"
"60","INTROHL","Introduction HH Listing"
"61","HHAUX","Other household memebers"
"62","HHWQ","Water Quality prompt"
"63","HHFIN","Finish"
"64","HC1A","Religion of household head"
"65","HC1B","Nationality of head of household"
"66","HC1C","Language of household head"
"67","HC2","Ethnic group of household head"
"68","HC3","Number of rooms used for sleeping"
"69","HC4","Main material of floor"
"70","HC5","Main material of roof"
"71","HC6","Main material of exterior wall"
"72","HC7A","Household have: Fixed telephone line"
"73","HC7B","Household have: Radio"
"74","HC7C","Household have: Bed"
"75","HC7D","Household have: Sofa"
"76","HC7E","Household have:Dining Table"
"77","HC7F","Household have:Cupboard"
"78","HC7G","Household have:Mattress"
"79","HC7H","Household have:Generator"
"80","HC7I","Household have:Solar"
"81","HC8","Household have electricity"
"82","HC9A","Household have: Television"
"83","HC9B","Household have: Refrigerator"
"84","HC9C","Household have:Fan"
"85","HC9D","Household have: Air conditioner"
"86","HC9E","Air conditioner: Satellite dish"
"87","HC10A","Any member of household own: Watch"
"88","HC10B","Any member of household own: Bicycle"
"89","HC10C","Any member of household own: Motorcycle or scooter"
"90","HC10D","Any member of household own: Animal-drawn cart"
"91","HC10E","Any member of household own: Car, truck or van"
"92","HC10F","Any member of household own: Boat with motor"
"93","HC10G","Any member of household own: Boat without motor"
"94","HC11","Any member have a computer"
"95","HC12","Any member have a mobile telephone"
"96","HC13","Internet access at home"
"97","HC14","Household owns the dwelling"
"98","HC15","Any household member own land that can be used for agriculture"
"99","HC16A","Hectares or acres of agricultural land members of household owns"
"100","HC16B","Hectares or acres of agricultural land members of household owns"
"101","HC17","Household own any animals"
"102","HC18A","Milk cows, or bulls"
"103","HC18B","Other cattle"
"104","HC18C1","Horses"
"105","HC18C2","donkeys, or mules"
"106","HC18D","Goats"
"107","HC18E","Sheep"
"108","HC18F","Chickens"
"109","HC18G","Pigs"
"110","HC19","Any household member own bank account"
"111","EU1","Type of cookstove mainly used for cooking"
"112","EU2","Cookstove have a chimney"
"113","EU3","Cookstove have a fan"
"114","EU4","Type of energy source for cookstove"
"115","EU5","Place for cooking"
"116","EU6","Type of space heating in household"
"117","EU7","Space heater have a chimney"
"118","EU8","Type of energy source for heater"
"119","EU9","Type of lighting in household"
"120","TN1","Household has mosquito nets"
"121","TN2","Number of mosquito nets"
"122","IR1","Interior walls of dwelling sprayed against mosquitos"
"123","IR2A","Government worker / program"
"124","IR2B","Private company"
"125","IR2C","Non-governmental organization"
"126","IR2X","Other"
"127","IR2Z","DK"
"128","WS1","Main source of drinking water"
"129","WS2","Main source of water used for other purposes (if bottled water used for drinking)"
"130","WS3","Location of the water source"
"131","WS4","Time (in minutes) to get water and come back"
"132","WS5","Person collecting water"
"133","WS6","Number of times person collected water in the last seven days"
"134","WS7","There been any time in the last month without sufficient water"
"135","WS8","Main reason without sufficient water"
"136","WS9","Treat water to make safer for drinking"
"137","WS10A","Water treatment: Boil"
"138","WS10B","Water treatment: Add bleach/chlorine"
"139","WS10C","Water treatment: Strain it through a cloth"
"140","WS10D","Water treatment: Use water filter"
"141","WS10E","Water treatment: Solar disinfection"
"142","WS10F","Water treatment: Let it stand and settle"
"143","WS10X","Water treatment: Other"
"144","WS10Z","Water treatment: DK"
"145","WS10NR","Water treatment: Missing"
"146","WS11","Type of toilet facility"
"147","WS12","Pit latrine or septic tank ever been emptied"
"148","WS13","Place the contents were emptied"
"149","WS14","Location of the toilet faciltity"
"150","WS15","Toilet facility shared"
"151","WS16","Toilet shared with other household or with general public"
"152","WS17","Households using this toilet facility"
"153","HW1","Place where household members most often wash their hands"
"154","HW2","Water available at the place for handwashing"
"155","HW3","Soap or detergent present at place of handwashing"
"156","HW4","Usual place for handwashing"
"157","HW5","Soap/other material available for washing hands"
"158","HW6","Hand washing material shown"
"159","HW7A","Bar soap"
"160","HW7B","Detergent (Powder / Liquid / Paste)"
"161","HW7C","Ash / Mud / Sand"
"162","HW7NR","Missing"
"163","SA1","Salt iodization test outcome"
"164","SA2","Salt iodization recheck test outcome"
"165","WQ1","Cluster number"
"166","WQ2","Household number"
"167","measurer_id","Tester?s number"
"168","WQ4","Supervisor's number"
"169","WQ5D","Day of interview"
"170","WQ5M","Month of interview"
"171","WQ5Y","Year of interview"
"172","WQ6","HH selected for blank testing"
"173","WQ8","Consent for water testing"
"174","WQ31","Result of water quality testing"
"175","WQ10H","Start of water quality test - Hour"
"176","WQ10M","Start of water quality test - Minutes"
"177","WQ23H","End of water quality test - Hour"
"178","WQ23M","End of water quality test - Minutes"
"179","HH_water_sample_provided","A glass of water that you would give to a child to drink was provided"
"180","observe_HH_sample_collection","Household water sample collected"
"181","WQ13","Water was collected from the source"
"182","WQ14","Done anything to the water to make it safer to drink"
"183","WQ15A","Water treatment: Boil"
"184","WQ15B","Water treatment: Add bleach/chlorine"
"185","WQ15C","Water treatment: Strain it through a cloth"
"186","WQ15D","Water treatment: Use water filter"
"187","WQ15E","Water treatment: Solar disinfection"
"188","WQ15F","Water treatment: Let it stand and settle"
"189","WQ15X","Water treatment: Other"
"190","WQ15Z","Water treatment: DK"
"191","WQ15NR","Water treatment: No response"
"192","WQ16","Was the glass water from the main source"
"193","source_HH_sample","Source of water where the glass of water was collected"
"194","permission_water_sample_SC","Main source of water was shown"
"195","EC_SC_tst_conducted","Source water sample collected"
"196","WQ20","HH selected for blank testing"
"197","WQ21","Blank water test available"
"198","WQ24D","Day of interview"
"199","WQ24M","Month of interview"
"200","WQ24Y","Year of interview"
"201","WQ25H","End of water quality test - Hour"
"202","WQ25M","End of water quality test - Minutes"
"203","EC_100_H","Household water test (100ml)"
"204","EC_100_S","Source water test (100ml)"
"205","EC_100_B","Blank water test (100ml)"
"206","hhsex","Sex of household head"
"207","hhweight","Household sample weight"
"208","wqhweight","HH WQT sample weight"
"209","wqsweight","Source WQT sample weight"
"210","ethnicity","Ethnicity of household head"
"211","helevel","Education of household head"
"212","wscore","Combined wealth score"
"213","windex5","Wealth index quintile"
"214","windex10","Percentile Group of com1"
"215","wscoreu","Urban wealth score"
"216","windex5u","Urban wealth index quintile"
"217","windex10u","Percentile Group of urb1"
"218","wscorer","Rural wealth score"
"219","windex5r","Rural wealth index quintile"
"220","windex10r","Percentile Group of rur1"
"221","PSU","Primary sampling unit"
"222","stratum","Stratum"
"223","HH5M_lab","Month of interview"
"224","area_type_lab","Area"
"225","region_lab","LGA"
"226","HH8_lab","HH selected for Questionnaire for Men"
"227","HH_selected_household_lab","HH selected for Water Quality Testing"
"228","HH_selected_blank_lab","HH selected for blank testing"
"229","HH12_lab","Consent"
"230","HH46_lab","Result of HH interview"
"231","HH14_lab","Language of the Questionnaire"
"232","HH15_lab","Language of the Interview"
"233","HH16_lab","Native language of the Respondent"
"234","HH17_lab","Translator used"
"235","HH33_lab","Consent for interview girls 15-17"
"236","HH39_lab","Consent for interview boys 15-17"
"237","HH44_lab","Consent for Water Quality Testing"
"238","INTROHL_lab","Introduction HH Listing"
"239","HHAUX_lab","Other household memebers"
"240","HHWQ_lab","Water Quality prompt"
"241","HHFIN_lab","Finish"
"242","HC1A_lab","Religion of household head"
"243","HC1B_lab","Nationality of head of household"
"244","HC1C_lab","Language of household head"
"245","HC2_lab","Ethnic group of household head"
"246","HC3_lab","Number of rooms used for sleeping"
"247","HC4_lab","Main material of floor"
"248","HC5_lab","Main material of roof"
"249","HC6_lab","Main material of exterior wall"
"250","HC7A_lab","Household have: Fixed telephone line"
"251","HC7B_lab","Household have: Radio"
"252","HC7C_lab","Household have: Bed"
"253","HC7D_lab","Household have: Sofa"
"254","HC7E_lab","Household have:Dining Table"
"255","HC7F_lab","Household have:Cupboard"
"256","HC7G_lab","Household have:Mattress"
"257","HC7H_lab","Household have:Generator"
"258","HC7I_lab","Household have:Solar"
"259","HC8_lab","Household have electricity"
"260","HC9A_lab","Household have: Television"
"261","HC9B_lab","Household have: Refrigerator"
"262","HC9C_lab","Household have:Fan"
"263","HC9D_lab","Household have: Air conditioner"
"264","HC9E_lab","Air conditioner: Satellite dish"
"265","HC10A_lab","Any member of household own: Watch"
"266","HC10B_lab","Any member of household own: Bicycle"
"267","HC10C_lab","Any member of household own: Motorcycle or scooter"
"268","HC10D_lab","Any member of household own: Animal-drawn cart"
"269","HC10E_lab","Any member of household own: Car, truck or van"
"270","HC10F_lab","Any member of household own: Boat with motor"
"271","HC10G_lab","Any member of household own: Boat without motor"
"272","HC11_lab","Any member have a computer"
"273","HC12_lab","Any member have a mobile telephone"
"274","HC13_lab","Internet access at home"
"275","HC14_lab","Household owns the dwelling"
"276","HC15_lab","Any household member own land that can be used for agriculture"
"277","HC16A_lab","Hectares or acres of agricultural land members of household owns"
"278","HC16B_lab","Hectares or acres of agricultural land members of household owns"
"279","HC17_lab","Household own any animals"
"280","HC18A_lab","Milk cows, or bulls"
"281","HC18B_lab","Other cattle"
"282","HC18C1_lab","Horses"
"283","HC18C2_lab","donkeys, or mules"
"284","HC18D_lab","Goats"
"285","HC18E_lab","Sheep"
"286","HC18F_lab","Chickens"
"287","HC18G_lab","Pigs"
"288","HC19_lab","Any household member own bank account"
"289","EU1_lab","Type of cookstove mainly used for cooking"
"290","EU2_lab","Cookstove have a chimney"
"291","EU3_lab","Cookstove have a fan"
"292","EU4_lab","Type of energy source for cookstove"
"293","EU5_lab","Place for cooking"
"294","EU6_lab","Type of space heating in household"
"295","EU7_lab","Space heater have a chimney"
"296","EU8_lab","Type of energy source for heater"
"297","EU9_lab","Type of lighting in household"
"298","TN1_lab","Household has mosquito nets"
"299","IR1_lab","Interior walls of dwelling sprayed against mosquitos"
"300","IR2A_lab","Government worker / program"
"301","IR2B_lab","Private company"
"302","IR2C_lab","Non-governmental organization"
"303","IR2X_lab","Other"
"304","IR2Z_lab","DK"
"305","WS1_lab","Main source of drinking water"
"306","WS2_lab","Main source of water used for other purposes (if bottled water used for drinking)"
"307","WS3_lab","Location of the water source"
"308","WS4_lab","Time (in minutes) to get water and come back"
"309","WS5_lab","Person collecting water"
"310","WS6_lab","Number of times person collected water in the last seven days"
"311","WS7_lab","There been any time in the last month without sufficient water"
"312","WS8_lab","Main reason without sufficient water"
"313","WS9_lab","Treat water to make safer for drinking"
"314","WS10A_lab","Water treatment: Boil"
"315","WS10B_lab","Water treatment: Add bleach/chlorine"
"316","WS10C_lab","Water treatment: Strain it through a cloth"
"317","WS10D_lab","Water treatment: Use water filter"
"318","WS10E_lab","Water treatment: Solar disinfection"
"319","WS10F_lab","Water treatment: Let it stand and settle"
"320","WS10X_lab","Water treatment: Other"
"321","WS10Z_lab","Water treatment: DK"
"322","WS10NR_lab","Water treatment: Missing"
"323","WS11_lab","Type of toilet facility"
"324","WS12_lab","Pit latrine or septic tank ever been emptied"
"325","WS13_lab","Place the contents were emptied"
"326","WS14_lab","Location of the toilet faciltity"
"327","WS15_lab","Toilet facility shared"
"328","WS16_lab","Toilet shared with other household or with general public"
"329","WS17_lab","Households using this toilet facility"
"330","HW1_lab","Place where household members most often wash their hands"
"331","HW2_lab","Water available at the place for handwashing"
"332","HW3_lab","Soap or detergent present at place of handwashing"
"333","HW4_lab","Usual place for handwashing"
"334","HW5_lab","Soap/other material available for washing hands"
"335","HW6_lab","Hand washing material shown"
"336","HW7A_lab","Bar soap"
"337","HW7B_lab","Detergent (Powder / Liquid / Paste)"
"338","HW7C_lab","Ash / Mud / Sand"
"339","HW7NR_lab","Missing"
"340","SA1_lab","Salt iodization test outcome"
"341","SA2_lab","Salt iodization recheck test outcome"
"342","WQ6_lab","HH selected for blank testing"
"343","WQ8_lab","Consent for water testing"
"344","WQ31_lab","Result of water quality testing"
"345","HH_water_sample_provided_lab","A glass of water that you would give to a child to drink was provided"
"346","observe_HH_sample_collection_lab","Household water sample collected"
"347","WQ14_lab","Done anything to the water to make it safer to drink"
"348","WQ15A_lab","Water treatment: Boil"
"349","WQ15B_lab","Water treatment: Add bleach/chlorine"
"350","WQ15C_lab","Water treatment: Strain it through a cloth"
"351","WQ15D_lab","Water treatment: Use water filter"
"352","WQ15E_lab","Water treatment: Solar disinfection"
"353","WQ15F_lab","Water treatment: Let it stand and settle"
"354","WQ15X_lab","Water treatment: Other"
"355","WQ15Z_lab","Water treatment: DK"
"356","WQ15NR_lab","Water treatment: No response"
"357","WQ16_lab","Was the glass water from the main source"
"358","source_HH_sample_lab","Source of water where the glass of water was collected"
"359","permission_water_sample_SC_lab","Main source of water was shown"
"360","EC_SC_tst_conducted_lab","Source water sample collected"
"361","WQ20_lab","HH selected for blank testing"
"362","WQ21_lab","Blank water test available"
"363","EC_100_H_lab","Household water test (100ml)"
"364","EC_100_S_lab","Source water test (100ml)"
"365","EC_100_B_lab","Blank water test (100ml)"
"366","hhsex_lab","Sex of household head"
"367","ethnicity_lab","Ethnicity of household head"
"368","helevel_lab","Education of household head"
"369","windex5_lab","Wealth index quintile"
"370","windex10_lab","Percentile Group of com1"
"371","windex5u_lab","Urban wealth index quintile"
"372","windex10u_lab","Percentile Group of urb1"
"373","windex5r_lab","Rural wealth index quintile"
"374","windex10r_lab","Percentile Group of rur1"
