"","name","label"
"1","clust_num","Número de conglomerado"
"2","HH_num","Número de hogar"
"3","childLN","Número de línea del niño"
"4","UF4","Número de línea de la madre o cuidador(a)"
"5","BD2","Ha sido el/la niño(a) amamantado alguna vez"
"6","BD3","Todavía está siendo amamantado(a)"
"7","CA1","Niño tuvo diarrea en las últimas semanas"
"8","CA14","Niño ha tenido fiebre en las últimas 2 semanas"
"9","CA16","Ha tenido alguna enfermedad con tos en las últimas dos semanas"
"10","CA17","Dificultad para respirar durante la enfermedad con tos"
"11","CA18","Síntomas se debieron a problema en el pecho o nariz tapada o moquera?"
"12","CA20","Buscó consejo o tratamiento para la enfermedad de algun proveedor"
"13","HL4","Sexo"
"14","CAGED","edad (en dias)"
"15","HAZ2","Desviacion estandar de la Talla/edad Height for age z-score WHO"
"16","WAZ2","Desviacion estandar del Peseo/edad  Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Educación de la madre"
"22","HH3","Número del entrevistadora"
"23","HH4","Número del supervisora"
"24","HH5D","Día de la entrevista"
"25","HH5M","Mes de la entrevista"
"26","HH5Y","Año de la entrevista"
"27","area_type","Area"
"28","region","Región/Departamento"
"29","HH8","Hogar seleccionado para cuestionario de hombre"
"30","HH_selected_household","Hogar seleccionado para prueba de calidad del agua"
"31","HH_selected_blank","Hogar seleccionado para prueba en blanco"
"32","HH11H","Inicio de la entrevista - Hora"
"33","HH11M","Inicio de la entrevista - Minutos"
"34","HH12","Consentimiento"
"35","HH46","Resultado de la entrevista de hogar"
"36","HH13H","Fin de la entrevista - Hora"
"37","HH13M","Fin de la entrevista - Minutos"
"38","HH14","Lenguaje del cuestionario"
"39","HH15","Lenguaje de la entrevista"
"40","HH16","Idioma nativo del entrevistado"
"41","HH17","Traductor utilizado"
"42","HH26A","Número de clasificación del niño seleccionado"
"43","HH26B","Número de línea del niño"
"44","HH26C","Edad del niño"
"45","HH30GA","Numero de mujer seleccionada modulo violencia"
"46","HH30GB","Numero de linea de la mujer modulo violencia"
"47","HH30GC","Edad de la mujer seleccionada para violencia"
"48","HH33X.01","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"49","HH33X.02","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"50","HH33X.03","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"51","HH33X.04","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"52","HH33X.05","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"53","HH33X.06","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"54","HH33X.07","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"55","HH33X.08","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"56","HH33X.09","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"57","HH33X.10","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"58","HH33X.11","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"59","HH33X.12","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"60","HH33X.13","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"61","HH33X.14","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"62","HH33X.15","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"63","HH33X.16","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"64","HH33X.17","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"65","HH33X.18","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"66","HH33X.19","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"67","HH33X.20","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"68","HH33X.21","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"69","HH33X.22","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"70","HH33X.23","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"71","HH33X.24","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"72","HH33X.25","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"73","HH33X.26","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"74","HH33X.27","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"75","HH33X.28","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"76","HH33X.29","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"77","HH33X.30","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"78","HH33X.31","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"79","HH33X.32","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"80","HH33X.33","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"81","HH33X.34","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"82","HH33X.35","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"83","HH33X.36","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"84","HH33X.37","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"85","HH33X.38","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"86","HH33X.39","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"87","HH33X.40","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"88","HH33X.41","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"89","HH33X.42","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"90","HH33X.43","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"91","HH33X.44","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"92","HH33X.45","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"93","HH33X.46","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"94","HH33X.47","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"95","HH33X.48","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"96","HH33X.49","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"97","HH33X.50","Lista para verificar el consentimiento de las niñas a entrevistar 15-17"
"98","HH33","Consentimiento para niñas a entrevistadar 15-17"
"99","HH39X.01","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"100","HH39X.02","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"101","HH39X.03","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"102","HH39X.04","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"103","HH39X.05","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"104","HH39X.06","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"105","HH39X.07","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"106","HH39X.08","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"107","HH39X.09","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"108","HH39X.10","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"109","HH39X.11","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"110","HH39X.12","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"111","HH39X.13","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"112","HH39X.14","Lista para verificar el consentimiento para entrevistar a niños 15-17"
"113","HH39X.15","Lista para verificar el consentimiento para entrevistar a niños 15-17"
