"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","HH3","Interviewer number"
"4","HH4","Supervisor Number"
"5","HH5D","Day of interview"
"6","HH5M","Month of interview"
"7","HH5Y","Year of interview"
"8","area_type","Area"
"9","region","Region/Governorate"
"10","HH8","HH selected for Questionnaire for Men"
"11","HH_selected_household","HH selected for Water Quality Testing"
"12","HH_selected_blank","HH selected for blank testing"
"13","HH11H","Start of interview - Hour"
"14","HH11M","Start of interview - Minutes"
"15","HH12","Consent"
"16","HH46","Result of HH interview"
"17","HH13H","End of interview - Hour"
"18","HH13M","End of interview - Minutes"
"19","HH14","Language of the Questionnaire"
"20","HH15","Language of the Interview"
"21","HH16","Native language of the Respondent"
"22","HH17","Translator used"
"23","HH26A","Rank number of the selected child"
"24","HH26B","Child line number"
"25","HH26C","Child's age"
"26","HH33","Consent for interview girls 15-17"
"27","HH39","Consent for interview boys 15-17"
"28","HH44","Consent for Water Quality Testing"
"29","HH47","Respondent to HH questionnaire"
"30","HH48","Number of HH members"
"31","HH49","Number of women 15 - 49 years"
"32","HH50","Number of men 15 - 49 years [If household is selected for Questionnaire for Men]"
"33","HH51","Number of children under age 5"
"34","HH52","Number of children age 5-17"
"35","HH53","Number of woman' questionnaires completed"
"36","HH55","Number of under - 5 questionnaires completed"
"37","HH56","Number of CF questionnaires completed (age 5-17 years)"
"38","INTROHL","Introduction HH Listing"
"39","HHAUX","Other household member"
"40","HHWQ","Water Quality prompt"
"41","HHFIN","Finish"
"42","HC1A","Religion of household head"
"43","HC1B","Language of household head"
"44","HC2A","Since when does the head of household live continuously in this place"
"45","HC2B","Before coming to this place was the head of the family living in the city or the"
"46","HC2C","What is the type of accommodation in which the head of household lived?"
"47","HC2D","Before coming to this place in any province where the head of the family lived?"
"48","HC2E","What was the main reason for the transition?"
"49","HC3","Number of rooms used for sleeping"
"50","HC4","Main material of floor"
"51","HC5","Main material of roof"
"52","HC6","Main material of exterior wall"
"53","HC7B","Household have: Radio"
"54","HC7C","Household have: Clay for saving and cooling water"
"55","HC7D","Household have: Clay for saving and cooling water"
"56","HC8","Household have electricity"
"57","HC8AA","Source of electricity: Public network"
"58","HC8AB","Source of electricity: External generator"
"59","HC8AC","Source of electricity: Special generator"
"60","HC8AX","Source of electricity: Other"
"61","HC8ANR","Source of electricity: No response"
"62","HC9A","Household have: Television"
"63","HC9B","Household have: Refrigerator"
"64","HC9C","Household have: Country Specific Items That Run On Electricity"
"65","HC9D","Household have: Air condition"
"66","HC9E","Household have:Cooler"
"67","HC9F","Household have:Drinking water cooler"
"68","HC9G","Household have:Satelite"
"69","HC10A","Any member of household own: Watch"
"70","HC10B","Any member of household own: Bicycle"
"71","HC10C","Any member of household own: Motorcycle or scooter"
"72","HC10D","Any member of household own: Animal-drawn cart"
"73","HC10E","Any member of household own: Car, truck or van"
"74","HC10F","Any member of household own: Boat with motor"
"75","HC11","Any member have a computer"
"76","HC12","Any member have a mobile telephone"
"77","HC13","Internet access at home"
"78","HC14","Household owns the dwelling"
"79","HC15","Any household member own land that can be used for agriculture"
"80","HC16","Hectares of agricultural land members of household owns"
"81","HC16A","Does the family have a fish pond or ponds?"
"82","HC16B","The number of kilograms of fish in these ponds?"
"83","HC17","Household own any animals"
"84","HC18A","Cattle, milk cows, or bulls"
"85","HC18B","Other cattle"
"86","HC18C","Horses, donkeys, or mules"
"87","HC18D","Goats"
"88","HC18E","Sheep"
"89","HC18F","Chickens"
"90","HC18G","Pigs"
"91","HC18H","Bees"
"92","HC18I","Fish Farming"
"93","HC19","Any household member own bank account"
"94","ST2_1","Aware of (name of programme)"
"95","ST2_2","Aware of (name of programme)"
"96","ST2_3","Aware of (name of programme)"
"97","ST2_4","Aware of (name of programme)"
"98","ST2_5","Aware of (name of programme)"
"99","ST3_1","Received assistance through (name of programme)"
"100","ST3_2","Received assistance through (name of programme)"
"101","ST3_3","Received assistance through (name of programme)"
"102","ST3_4","Received assistance through (name of programme)"
"103","ST3_5","Received assistance through (name of programme)"
"104","ST4U_1","Last time assistance was received (unit)"
"105","ST4U_2","Last time assistance was received (unit)"
"106","ST4U_3","Last time assistance was received (unit)"
"107","ST4U_4","Last time assistance was received (unit)"
"108","ST4U_5","Last time assistance was received (unit)"
"109","ST4N_1","Last time assistance was received (number)"
"110","ST4N_2","Last time assistance was received (number)"
"111","ST4N_3","Last time assistance was received (number)"
"112","ST4N_4","Last time assistance was received (number)"
"113","ST4N_5","Last time assistance was received (number)"
"114","EU1","Type of cookstove mainly used for cooking"
"115","EU2","Cookstove have a chimney"
"116","EU3","Cookstove have a fan"
"117","EU4","Type of energy source for cookstove"
"118","EU5","Place for cooking"
"119","EU6","Type of space heating in household"
"120","EU7","Space heater have a chimney"
"121","EU8","Type of energy source for heater"
"122","EU9","Type of lighting in household"
"123","WS1","Main source of drinking water"
"124","WS2","Main source of water used for other purposes (if bottled water used for drinking"
"125","WS3","Location of the water source"
"126","WS4","Time (in minutes) to get water and come back"
"127","WS5","Person collecting water"
"128","WS6","Number of times person collected water in the last seven days"
"129","WS7","There been any time in the last month without sufficient water"
"130","WS8","Main reason without sufficient water"
"131","WS9","Treat water to make safer for drinking"
"132","WS10A","Water treatment: Boil"
"133","WS10B","Water treatment: Add bleach/chlorine"
"134","WS10C","Water treatment: Strain it through a cloth"
"135","WS10D","Water treatment: Use water filter"
"136","WS10E","Water treatment: Solar disinfection"
"137","WS10F","Water treatment: Let it stand and settle"
"138","WS10G","Water treatment:Adding tabs"
"139","WS10H","Water treatment: Home filter system"
"140","WS10X","Water treatment: Other"
"141","WS10Z","Water treatment: DK"
"142","WS10NR","Water treatment: Missing"
"143","WS11","Type of toilet facility"
"144","WS12","Pit latrine or septic tank ever been emptied"
"145","WS13","Place the contents were emptied"
"146","WS14","Location of the toilet faciltity"
"147","WS15","Toilet facility shared"
"148","WS16","Toilet shared with other household or with general public"
"149","WS17","Households using this toilet facility"
"150","HW1","Place where household members most often wash their hands"
"151","HW2","Water available at the place for handwashing"
"152","HW3","Soap or detergent present at place of handwashing"
"153","HW4","Usual place for handwashing"
"154","HW5","Soap/other material available for washing hands"
"155","HW6","Hand washing material shown"
"156","HW7A","Bar soap"
"157","HW7B","Detergent (Powder / Liquid / Paste)"
"158","HW7C","Ash / Mud / Sand"
"159","HW7NR","Missing"
"160","SA1","Salt iodization test outcome"
"161","SA2","Salt iodization recheck test outcome"
"162","WQ1","Cluster number"
"163","WQ2","Household number"
"164","measurer_id","Tester<U+0092>s number"
"165","WQ4","Supervisor's number"
"166","WQ5D","Day of interview"
"167","WQ5M","Month of interview"
"168","WQ5Y","Year of interview"
"169","WQ6","HH selected for blank testing"
"170","WQ8","Consent for water testing"
"171","WQ31","Result of water quality testing"
"172","WQ10H","Start of water quality test - Hour"
"173","WQ10M","Start of water quality test - Minutes"
"174","WQ23H","End of water quality test - Hour"
"175","WQ23M","End of water quality test - Minutes"
"176","HH_water_sample_provided","A glass of water that you would give to a child to drink was provided"
"177","observe_HH_sample_collection","Water was collected from the source"
"178","WQ13A","Choloride degree"
"179","WQ14","Done anything to the water to make it safer to drink"
"180","WQ15A","Water treatment: Boil"
"181","WQ15B","Water treatment: Add bleach/chlorine"
"182","WQ15C","Water treatment: Strain it through a cloth"
"183","WQ15D","Water treatment: Use water filter"
"184","WQ15E","Water treatment: Solar disinfection"
"185","WQ15F","Water treatment: Let it stand and settle"
"186","WQ15G","Water treatment: Add sterilization pills"
"187","WQ15H","Water treatment: Water treatment: Water treatment HH unit"
"188","WQ15X","Water treatment: Other"
"189","WQ15Z","Water treatment: DK"
"190","WQ15Q","Water treatment: No response"
"191","WQ16","Was the glass water from the main source"
"192","source_HH_sample","Source of water where the glass of water was collected"
"193","permission_water_sample_SC","Main source of water was shown"
"194","EC_SC_tst_conducted","Source water sample collected"
"195","WQ19A","Choloride degree"
"196","WQ20","HH selected for blank testing"
"197","EC_BK_tst_conducted","Blank water test available"
"198","WQ21A","Choloride degree"
"199","WQ24D","Day of interview"
"200","WQ24M","Month of interview"
"201","WQ24Y","Year of interview"
"202","WQ25H","End of water quality test - Hour"
"203","WQ25M","End of water quality test - Minutes"
"204","EC_100_H","Household water test (100ml)"
"205","EC_100_S","Source water test (100ml)"
"206","EC_100_B","Blank water test (100ml)"
"207","hhsex","Sex of household head"
"208","HHAGE","Age of household head"
"209","helevel","Education of household head"
"210","hhweight","Household sample weight"
"211","wqhweight","Weight for household WQT"
"212","wqsweight","Weight for source WQT"
"213","wscore","Combined wealth score"
"214","windex5","Wealth Quintiles"
"215","windex10","Percentile Group of com1"
"216","wscoreu","Urban wealth score"
"217","windex5u","Wealth Quintiles Urban"
"218","windex10u","Percentile Group of urb1"
"219","wscorer","Rural wealth score"
"220","windex5r","Wealth Quintiles Rural"
"221","windex10r","Percentile Group of rur1"
"222","PSU","Primary sampling unit"
"223","stratum","Stratum"
"224","CA31","What was done to dispose of the stools"
"225","ID","NULL"
"226","HH_selected_source","HH selected for Water Quality Testing"
"227","wat_class","Main water source type"
"228","wat_imp","Main water source improved"
"229","same_source","Water sample from main source"
"230","source_sample_class","Source of sample type"
"231","accessible","NULL"
"232","accessible_cat","NULL"
"233","available","NULL"
"234","unavailable_reason","NULL"
"235","storage","RECODE of observe_HH_sample_collection (Water was collected from the source)"
"236","treat_any","NULL"
"237","treat_boil","NULL"
"238","treat_chlorine","NULL"
"239","treat_filter","NULL"
"240","san_imp","RECODE of WS11 (Type of toilet facility)"
"241","san_cat","RECODE of WS11 (Type of toilet facility)"
"242","san_shared","NULL"
"243","hwws","NULL"
"244","animals","NULL"
"245","floor","NULL"
"246","hhsize5","Household size"
"247","windex3","3 quantiles of wscore "
"248","education","Education of household head"
"249","childfaeces","RECODE of CA31 (What was done to dispose of the stools)"
"250","EC_result_H","Is an E. coli test result recorded"
"251","EC_result_H100","Is an E. coli test result recorded"
"252","EC_risk_H_1","Low risk: E. coli < 1 cfu/100 mL"
"253","EC_risk_H_2","Moderate risk: E. coli 1-10 cfu/100 mL"
"254","EC_risk_H_3","High risk: E. coli 11-100 cfu/100 mL"
"255","EC_risk_H_4","Very high risk: E. coli >100 cfu/100 mL"
"256","EC_result_S","Is an E. coli test result recorded"
"257","EC_result_S100","Is an E. coli test result recorded"
"258","EC_risk_S_1","Low risk: E. coli < 1 cfu/100 mL"
"259","EC_risk_S_2","Moderate risk: E. coli 1-10 cfu/100 mL"
"260","EC_risk_S_3","High risk: E. coli 11-100 cfu/100 mL"
"261","EC_risk_S_4","Very high risk: E. coli >100 cfu/100 mL"
"262","EC_result_B","Is an E. coli test result recorded"
"263","EC_result_B100","Is an E. coli test result recorded"
"264","EC_risk_B_1","Low risk: E. coli < 1 cfu/100 mL"
"265","EC_risk_B_2","Moderate risk: E. coli 1-10 cfu/100 mL"
"266","EC_risk_B_3","High risk: E. coli 11-100 cfu/100 mL"
"267","EC_risk_B_4","Very high risk: E. coli >100 cfu/100 mL"
"268","temp","NULL"
"269","ecpopweight_H","NULL"
"270","ecpopweight_S","NULL"
"271","popweight","NULL"
