"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","HH3","Interviewer number"
"4","HH4","Supervisor number"
"5","HH5D","Day of interview"
"6","HH5M","Month of interview"
"7","HH5Y","Year of interview"
"8","area_type","Area"
"9","region","District/Island Group"
"10","HH8","HH selected for Questionnaire for Men"
"11","HH_selected_household","HH selected for Water Quality Testing"
"12","HH_selected_blank","HH selected for Blank Testing"
"13","HH11H","Start of interview - Hour"
"14","HH11M","Start of interview - Minutes"
"15","HH12","Consent"
"16","HH46","Result of HH interview"
"17","HH13H","End of interview - Hour"
"18","HH13M","End of interview - Minutes"
"19","HH14","Language of the Questionnaire"
"20","HH15","Language of the Interview"
"21","HH16","Native language of the Respondent"
"22","HH17","Translator used"
"23","HH26A","Rank number of the selected child"
"24","HH26B","Child line number"
"25","HH26C","Child's age"
"26","HH30HA","Rank number of the selected woman"
"27","HH30HB","Woman line number"
"28","HH30HC","Woman's age"
"29","HH33X_01","Roster to check the consent for interview girls 15-17"
"30","HH33X_02","Roster to check the consent for interview girls 15-17"
"31","HH33X_03","Roster to check the consent for interview girls 15-17"
"32","HH33X_04","Roster to check the consent for interview girls 15-17"
"33","HH33X_05","Roster to check the consent for interview girls 15-17"
"34","HH33X_06","Roster to check the consent for interview girls 15-17"
"35","HH33X_07","Roster to check the consent for interview girls 15-17"
"36","HH33X_08","Roster to check the consent for interview girls 15-17"
"37","HH33X_09","Roster to check the consent for interview girls 15-17"
"38","HH33X_10","Roster to check the consent for interview girls 15-17"
"39","HH33X_11","Roster to check the consent for interview girls 15-17"
"40","HH33X_12","Roster to check the consent for interview girls 15-17"
"41","HH33X_13","Roster to check the consent for interview girls 15-17"
"42","HH33X_14","Roster to check the consent for interview girls 15-17"
"43","HH33X_15","Roster to check the consent for interview girls 15-17"
"44","HH33X_16","Roster to check the consent for interview girls 15-17"
"45","HH33X_17","Roster to check the consent for interview girls 15-17"
"46","HH33X_18","Roster to check the consent for interview girls 15-17"
"47","HH33X_19","Roster to check the consent for interview girls 15-17"
"48","HH33X_20","Roster to check the consent for interview girls 15-17"
"49","HH33X_21","Roster to check the consent for interview girls 15-17"
"50","HH33X_22","Roster to check the consent for interview girls 15-17"
"51","HH33X_23","Roster to check the consent for interview girls 15-17"
"52","HH33X_24","Roster to check the consent for interview girls 15-17"
"53","HH33X_25","Roster to check the consent for interview girls 15-17"
"54","HH33X_26","Roster to check the consent for interview girls 15-17"
"55","HH33X_27","Roster to check the consent for interview girls 15-17"
"56","HH33X_28","Roster to check the consent for interview girls 15-17"
"57","HH33X_29","Roster to check the consent for interview girls 15-17"
"58","HH33X_30","Roster to check the consent for interview girls 15-17"
"59","HH33X_31","Roster to check the consent for interview girls 15-17"
"60","HH33X_32","Roster to check the consent for interview girls 15-17"
"61","HH33X_33","Roster to check the consent for interview girls 15-17"
"62","HH33X_34","Roster to check the consent for interview girls 15-17"
"63","HH33X_35","Roster to check the consent for interview girls 15-17"
"64","HH33X_36","Roster to check the consent for interview girls 15-17"
"65","HH33X_37","Roster to check the consent for interview girls 15-17"
"66","HH33X_38","Roster to check the consent for interview girls 15-17"
"67","HH33X_39","Roster to check the consent for interview girls 15-17"
"68","HH33X_40","Roster to check the consent for interview girls 15-17"
"69","HH33X_41","Roster to check the consent for interview girls 15-17"
"70","HH33X_42","Roster to check the consent for interview girls 15-17"
"71","HH33X_43","Roster to check the consent for interview girls 15-17"
"72","HH33X_44","Roster to check the consent for interview girls 15-17"
"73","HH33X_45","Roster to check the consent for interview girls 15-17"
"74","HH33X_46","Roster to check the consent for interview girls 15-17"
"75","HH33X_47","Roster to check the consent for interview girls 15-17"
"76","HH33X_48","Roster to check the consent for interview girls 15-17"
"77","HH33X_49","Roster to check the consent for interview girls 15-17"
"78","HH33X_50","Roster to check the consent for interview girls 15-17"
"79","HH33","Consent for interview girls 15-17"
"80","HH39X_01","Roster to check the consent for interview boys 15-17"
"81","HH39X_02","Roster to check the consent for interview boys 15-17"
"82","HH39X_03","Roster to check the consent for interview boys 15-17"
"83","HH39X_04","Roster to check the consent for interview boys 15-17"
"84","HH39X_05","Roster to check the consent for interview boys 15-17"
"85","HH39X_06","Roster to check the consent for interview boys 15-17"
"86","HH39X_07","Roster to check the consent for interview boys 15-17"
"87","HH39X_08","Roster to check the consent for interview boys 15-17"
"88","HH39X_09","Roster to check the consent for interview boys 15-17"
"89","HH39X_10","Roster to check the consent for interview boys 15-17"
"90","HH39X_11","Roster to check the consent for interview boys 15-17"
"91","HH39X_12","Roster to check the consent for interview boys 15-17"
"92","HH39X_13","Roster to check the consent for interview boys 15-17"
"93","HH39X_14","Roster to check the consent for interview boys 15-17"
"94","HH39X_15","Roster to check the consent for interview boys 15-17"
"95","HH39X_16","Roster to check the consent for interview boys 15-17"
"96","HH39X_17","Roster to check the consent for interview boys 15-17"
"97","HH39X_18","Roster to check the consent for interview boys 15-17"
"98","HH39X_19","Roster to check the consent for interview boys 15-17"
"99","HH39X_20","Roster to check the consent for interview boys 15-17"
"100","HH39X_21","Roster to check the consent for interview boys 15-17"
"101","HH39X_22","Roster to check the consent for interview boys 15-17"
"102","HH39X_23","Roster to check the consent for interview boys 15-17"
"103","HH39X_24","Roster to check the consent for interview boys 15-17"
"104","HH39X_25","Roster to check the consent for interview boys 15-17"
"105","HH39X_26","Roster to check the consent for interview boys 15-17"
"106","HH39X_27","Roster to check the consent for interview boys 15-17"
"107","HH39X_28","Roster to check the consent for interview boys 15-17"
"108","HH39X_29","Roster to check the consent for interview boys 15-17"
"109","HH39X_30","Roster to check the consent for interview boys 15-17"
"110","HH39X_31","Roster to check the consent for interview boys 15-17"
"111","HH39X_32","Roster to check the consent for interview boys 15-17"
"112","HH39X_33","Roster to check the consent for interview boys 15-17"
"113","HH39X_34","Roster to check the consent for interview boys 15-17"
"114","HH39X_35","Roster to check the consent for interview boys 15-17"
"115","HH39X_36","Roster to check the consent for interview boys 15-17"
"116","HH39X_37","Roster to check the consent for interview boys 15-17"
"117","HH39X_38","Roster to check the consent for interview boys 15-17"
"118","HH39X_39","Roster to check the consent for interview boys 15-17"
"119","HH39X_40","Roster to check the consent for interview boys 15-17"
"120","HH39X_41","Roster to check the consent for interview boys 15-17"
"121","HH39X_42","Roster to check the consent for interview boys 15-17"
"122","HH39X_43","Roster to check the consent for interview boys 15-17"
"123","HH39X_44","Roster to check the consent for interview boys 15-17"
"124","HH39X_45","Roster to check the consent for interview boys 15-17"
"125","HH39X_46","Roster to check the consent for interview boys 15-17"
"126","HH39X_47","Roster to check the consent for interview boys 15-17"
"127","HH39X_48","Roster to check the consent for interview boys 15-17"
"128","HH39X_49","Roster to check the consent for interview boys 15-17"
"129","HH39X_50","Roster to check the consent for interview boys 15-17"
"130","HH39","Consent for interview boys 15-17"
"131","HH44","Consent for Water Quality Testing"
"132","HH47","Respondent to HH questionnaire"
"133","HH48","Number of HH members"
"134","HH49","Number of women 15 - 49 years"
"135","HH50","Number of men 15 - 49 years [If household is selected for Questionnaire for Men]"
"136","HH51","Number of children under age 5"
"137","HH52","Number of children age 5-17"
"138","INTROHL","Introduction HH Listing"
"139","HHAUX","Other household members"
"140","HHADDR","Household address"
"141","HHWQ","Water Quality prompt"
"142","HHFIN","Finish"
"143","HC1A","Religion of household head"
"144","HC1B","Language of household head"
"145","HC2","Ethnic group of household head"
"146","HC3","Number of rooms used for sleeping"
"147","HC4","Main material of floor"
"148","HC5","Main material of roof"
"149","HC6","Main material of exterior wall"
"150","HC7A","Household have: Fixed telephone line"
"151","HC7B","Household have: Radio"
"152","HC7C","Household have: Kerosene Stove"
"153","HC7D","Household have: Gas Stove"
"154","HC7E","Household have: Kabwate (Food Storage)"
"155","HC7F","Household have: Dinning Table"
"156","HC7G","Household have: Water Storage tank"
"157","HC8","Household have electricity"
"158","HC9A","Household have: Television"
"159","HC9B","Household have: Refrigerator"
"160","HC9C","Household have: Dvd player set"
"161","HC9D","Household have: Deep freezer"
"162","HC9E","Household have: Electric fan"
"163","HC9F","Household have: Music player speakers"
"164","HC9G","Household have: Electric Kettle"
"165","HC9H","Household have: Rice Cooker"
"166","HC9I","Household have: Washing Machine"
"167","HC10A","Any member of household own: Wristwatch"
"168","HC10B","Any member of household own: Bicycle"
"169","HC10C","Any member of household own: Motorcycle or scooter"
"170","HC10E","Any member of household own: Car, truck or van"
"171","HC10F","Any member of household own: Boat with motor"
"172","HC10G","Any member of household own: Hand-cart(Aenikaa)"
"173","HC10H","Any member of household own: Canoe"
"174","HC10I","Any member of household own: Fishing net"
"175","HC11","Any member have a computer"
"176","HC12","Any member have a mobile telephone"
"177","HC13","Internet access at home"
"178","HC14","Household owns the dwelling"
"179","HC15","Any household member own land that can be used for agriculture"
"180","HC16","Hectares of agricultural land members of household owns"
"181","HC17","Household own any animals"
"182","HC18F","Chickens"
"183","HC18G","Pigs"
"184","HC18H","Ducks"
"185","HC19","Any household member own bank account"
"186","ST2_1","Aware of (name of programme)"
"187","ST2_2","Aware of (name of programme)"
"188","ST2_3","Aware of (name of programme)"
"189","ST2_4","Aware of (name of programme)"
"190","ST3_1","Received assistance through (name of programme)"
"191","ST3_2","Received assistance through (name of programme)"
"192","ST3_3","Received assistance through (name of programme)"
"193","ST3_4","Received assistance through (name of programme)"
"194","ST4U_1","Last time assistance was received (unit)"
"195","ST4U_2","Last time assistance was received (unit)"
"196","ST4U_3","Last time assistance was received (unit)"
"197","ST4U_4","Last time assistance was received (unit)"
"198","ST4N_1","Last time assistance was received (number)"
"199","ST4N_2","Last time assistance was received (number)"
"200","ST4N_3","Last time assistance was received (number)"
"201","ST4N_4","Last time assistance was received (number)"
"202","EU1","Type of cookstove mainly used for cooking"
"203","EU2","Cookstove have a chimney"
"204","EU3","Cookstove have a fan"
"205","EU4","Type of energy source for cookstove"
"206","EU5","Place for cooking"
"207","EU9","Type of lighting in household"
"208","TN1","Household has mosquito nets"
"209","TN2","Number of mosquito nets"
"210","TN17A","Any member of your household use an insect: Repellent spray or cream"
"211","TN17B","Any member of your household use an insect: Mosquito coil"
"212","WS1","Main source of drinking water"
"213","WS2","Main source of water used for other purposes (if bottled water used for drinking"
"214","WS3","Location of the water source"
"215","WS4","Time (in minutes) to get water and come back"
"216","WS5","Person collecting water"
"217","WS6","Number of times person collected water in the last seven days"
"218","WS7","There been any time in the last month without sufficient water"
"219","WS8","Main reason without sufficient water"
"220","WS9","Treat water to make safer for drinking"
"221","WS10A","Water treatment: Boil"
"222","WS10B","Water treatment: Add bleach/chlorine"
"223","WS10C","Water treatment: Strain it through a cloth"
"224","WS10D","Water treatment: Use water filter"
"225","WS10E","Water treatment: Solar disinfection"
"226","WS10F","Water treatment: Let it stand and settle"
"227","WS10X","Water treatment: Other"
"228","WS10Z","Water treatment: DK"
"229","WS10NR","Water treatment: No response"
"230","WS11","Type of toilet facility"
"231","WS12","Pit latrine or septic tank ever been emptied"
"232","WS13","Place the contents were emptied"
"233","WS14","Location of the toilet faciltity"
"234","WS15","Toilet facility shared"
"235","WS16","Toilet shared with other household or with general public"
"236","WS17","Households using this toilet facility"
"237","HW1","Place where household members most often wash their hands"
"238","HW2","Water available at the place for handwashing"
"239","HW3","Soap or detergent present at place of handwashing"
"240","HW4","Usual place for handwashing"
"241","HW5","Soap/other material available for washing hands"
"242","HW6","Hand washing material shown"
"243","HW7A","Bar soap"
"244","HW7B","Detergent (Powder / Liquid / Paste)"
"245","HW7C","Ash / Mud / Sand"
"246","HW7NR","No response"
"247","SA1","Salt iodization test outcome"
"248","SA2","Salt iodization recheck test outcome"
"249","WQ1","Cluster number"
"250","WQ2","Household number"
"251","measurer_id","Measurer number"
"252","WQ4","Interviewer number"
"253","WQ5D","Day of water quality test"
"254","WQ5M","Month of water quality test"
"255","WQ5Y","Year of water quality test"
"256","WQ6","HH selected for blank testing"
"257","WQ8","Consent for water quality test"
"258","WQ31","Result of water quality test"
"259","WQ10H","Start of water quality test - Hour"
"260","WQ10M","Start of water quality test - Minutes"
"261","WQ23H","End of water quality test - Hour"
"262","WQ23M","End of water quality test - Minutes"
"263","HH_water_sample_provided","A glass of water that you would give to a child to drink was provided"
"264","observe_HH_sample_collection","Water was collected from the source"
"265","WQ14","Done anything to the water to make it safer to drink"
"266","WQ15A","Water treatment: Boil"
"267","WQ15B","Water treatment: Add bleach/chlorine"
"268","WQ15C","Water treatment: Strain it through a cloth"
"269","WQ15D","Water treatment: Use water filter"
"270","WQ15E","Water treatment: Solar disinfection"
"271","WQ15F","Water treatment: Let it stand and settle"
"272","WQ15X","Water treatment: Other"
"273","WQ15Z","Water treatment: DK"
"274","WQ15NR","Water treatment: No response"
"275","source_HH_sample","Source of water where the glass of water was collected"
"276","permission_water_sample_SC","Main source of water was shown"
"277","EC_SC_tst_conducted","Source water sample collected"
"278","WQ20","HH selected for blank testing"
"279","EC_BK_tst_conducted","Blank water test available"
"280","WQ24D","Day of recording test results"
"281","WQ24M","Month of recording test results"
"282","WQ24Y","Year of recording test results"
"283","WQ25H","Time of recording test results - Hour"
"284","WQ25M","Time of recording test results - Minutes"
"285","EC_100_H","Household water test (100ml)"
"286","EC_100_S","Source water test (100ml)"
"287","EC_100_B","Blank water test (100ml)"
"288","hhsex","Sex of household head"
"289","HHAGE","Age of household head"
"290","HH53","Number of woman' questionnaires completed"
"291","HH54","Number of man' questionnaires completed [If household is selected for Questionna"
"292","HH50A","Number of men 15 - 49 years in interviewed households"
"293","HH55","Number of under - 5 questionnaires completed"
"294","HH56","Number of CF questionnaires completed (age 5-17)"
"295","hhweight","Household sample weight"
"296","wqhweight","Weight for household WQT"
"297","wqsweight","Weight for source WQT"
"298","wscore","Combined wealth score"
"299","windex5","Wealth index quintile"
"300","windex10","Wealth index decile"
"301","wscoreu","Urban wealth score"
"302","windex5u","Urban wealth index quintile"
"303","windex10u","Urban wealth index decile"
"304","wscorer","Rural wealth score"
"305","windex5r","Rural wealth index quintile"
"306","windex10r","Rural wealth index decile"
"307","HC1AR","Religion - wide categories"
"308","ethnicity","Ethnicity of household head"
"309","religion","Religion"
"310","helevel","Education of household head"
"311","PSU","Primary sampling unit"
"312","stratum","Stratum"
"313","CA31","What was done to dispose of the stools"
"314","ID","NULL"
"315","HH_selected_source","HH selected for Water Quality Testing"
"316","wat_class","Main water source type"
"317","wat_imp","Main water source improved"
"318","source_sample_class","Source of sample type"
"319","accessible","NULL"
"320","accessible_cat","NULL"
"321","available","NULL"
"322","unavailable_reason","NULL"
"323","storage","RECODE of observe_HH_sample_collection (Water was collected from the source)"
"324","treat_any","NULL"
"325","treat_boil","NULL"
"326","treat_chlorine","NULL"
"327","treat_filter","NULL"
"328","san_imp","RECODE of WS11 (Type of toilet facility)"
"329","san_cat","RECODE of WS11 (Type of toilet facility)"
"330","san_shared","NULL"
"331","hwws","NULL"
"332","animals","NULL"
"333","floor","NULL"
"334","hhsize5","Household size"
"335","windex3","3 quantiles of wscore "
"336","education","Education of household head"
"337","childfaeces","RECODE of CA31 (What was done to dispose of the stools)"
"338","EC_result_H","Is an E. coli test result recorded"
"339","EC_result_H100","Is an E. coli test result recorded"
"340","EC_risk_H_1","Low risk: E. coli < 1 cfu/100 mL"
"341","EC_risk_H_2","Moderate risk: E. coli 1-10 cfu/100 mL"
"342","EC_risk_H_3","High risk: E. coli 11-100 cfu/100 mL"
