"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","childLN","Child's line number"
"4","UF4","Mother / Caretaker's line number"
"5","BD2","Child ever been breastfed"
"6","BD3","Child still being breastfed"
"7","CA1","Child had diarrhoea in last 2 weeks"
"8","CA14","Child ill with fever in last 2 weeks"
"9","CA16","Child ill with cough in last 2 weeks"
"10","CA17","Difficulty breathing during illness with cough"
"11","CA18","Symptoms due to problem in chest or blocked nose"
"12","CA20","Sought advice or treatment for illness"
"13","HL4","Sex"
"14","CAGED","Age (in days)"
"15","HAZ2","Height for age z-score WHO"
"16","WAZ2","Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Mother’s education"
"22","HH3","Interviewer number"
"23","HH4","Supervisor number"
"24","HH5D","Day of interview"
"25","HH5M","Month of interview"
"26","HH5Y","Year of interview"
"27","HH6A","Settlement type"
"28","HH7A","District"
"29","HH8","HH selected for Questionnaire for Men"
"30","HH_selected_household","HH selected for Water Quality Testing"
"31","HH_selected_blank","HH selected for blank testing"
"32","HH11H","Start of interview - Hour"
"33","HH11M","Start of interview - Minutes"
"34","HH12","Consent"
"35","HH13H","End of interview - Hour"
"36","HH13M","End of interview - Minutes"
"37","HH14","Language of the Questionnaire"
"38","HH15","Language of the Interview"
"39","HH16","Native language of the Respondent"
"40","HH17","Translator used"
"41","HH26A","Rank number of the selected child"
"42","HH26B","Child line number"
"43","HH26C","Child's age"
"44","HH33X.01","Roster to check the consent for interview girls 15-17"
"45","HH33X.02","Roster to check the consent for interview girls 15-17"
"46","HH33X.03","Roster to check the consent for interview girls 15-17"
"47","HH33X.04","Roster to check the consent for interview girls 15-17"
"48","HH33X.05","Roster to check the consent for interview girls 15-17"
"49","HH33X.06","Roster to check the consent for interview girls 15-17"
"50","HH33X.07","Roster to check the consent for interview girls 15-17"
"51","HH33X.08","Roster to check the consent for interview girls 15-17"
"52","HH33X.09","Roster to check the consent for interview girls 15-17"
"53","HH33X.10","Roster to check the consent for interview girls 15-17"
"54","HH33X.11","Roster to check the consent for interview girls 15-17"
"55","HH33X.12","Roster to check the consent for interview girls 15-17"
"56","HH33X.13","Roster to check the consent for interview girls 15-17"
"57","HH33X.14","Roster to check the consent for interview girls 15-17"
"58","HH33X.15","Roster to check the consent for interview girls 15-17"
"59","HH33X.16","Roster to check the consent for interview girls 15-17"
"60","HH33X.17","Roster to check the consent for interview girls 15-17"
"61","HH33X.18","Roster to check the consent for interview girls 15-17"
"62","HH33X.19","Roster to check the consent for interview girls 15-17"
"63","HH33X.20","Roster to check the consent for interview girls 15-17"
"64","HH33X.21","Roster to check the consent for interview girls 15-17"
"65","HH33X.22","Roster to check the consent for interview girls 15-17"
"66","HH33X.23","Roster to check the consent for interview girls 15-17"
"67","HH33X.24","Roster to check the consent for interview girls 15-17"
"68","HH33X.25","Roster to check the consent for interview girls 15-17"
"69","HH33X.26","Roster to check the consent for interview girls 15-17"
"70","HH33X.27","Roster to check the consent for interview girls 15-17"
"71","HH33X.28","Roster to check the consent for interview girls 15-17"
"72","HH33X.29","Roster to check the consent for interview girls 15-17"
"73","HH33X.30","Roster to check the consent for interview girls 15-17"
"74","HH33X.31","Roster to check the consent for interview girls 15-17"
"75","HH33X.32","Roster to check the consent for interview girls 15-17"
"76","HH33X.33","Roster to check the consent for interview girls 15-17"
"77","HH33X.34","Roster to check the consent for interview girls 15-17"
"78","HH33X.35","Roster to check the consent for interview girls 15-17"
"79","HH33X.36","Roster to check the consent for interview girls 15-17"
"80","HH33X.37","Roster to check the consent for interview girls 15-17"
"81","HH33X.38","Roster to check the consent for interview girls 15-17"
"82","HH33X.39","Roster to check the consent for interview girls 15-17"
"83","HH33X.40","Roster to check the consent for interview girls 15-17"
"84","HH33X.41","Roster to check the consent for interview girls 15-17"
"85","HH33X.42","Roster to check the consent for interview girls 15-17"
"86","HH33X.43","Roster to check the consent for interview girls 15-17"
"87","HH33X.44","Roster to check the consent for interview girls 15-17"
"88","HH33X.45","Roster to check the consent for interview girls 15-17"
"89","HH33X.46","Roster to check the consent for interview girls 15-17"
"90","HH33X.47","Roster to check the consent for interview girls 15-17"
"91","HH33X.48","Roster to check the consent for interview girls 15-17"
"92","HH33X.49","Roster to check the consent for interview girls 15-17"
"93","HH33X.50","Roster to check the consent for interview girls 15-17"
"94","HH33","Consent for interview girls 15-17"
"95","HH39X.01","Roster to check the consent for interview boys 15-17"
"96","HH39X.02","Roster to check the consent for interview boys 15-17"
"97","HH39X.03","Roster to check the consent for interview boys 15-17"
"98","HH39X.04","Roster to check the consent for interview boys 15-17"
"99","HH39X.05","Roster to check the consent for interview boys 15-17"
"100","HH39X.06","Roster to check the consent for interview boys 15-17"
"101","HH39X.07","Roster to check the consent for interview boys 15-17"
"102","HH39X.08","Roster to check the consent for interview boys 15-17"
"103","HH39X.09","Roster to check the consent for interview boys 15-17"
"104","HH39X.10","Roster to check the consent for interview boys 15-17"
"105","HH39X.11","Roster to check the consent for interview boys 15-17"
"106","HH39X.12","Roster to check the consent for interview boys 15-17"
"107","HH39X.13","Roster to check the consent for interview boys 15-17"
"108","HH39X.14","Roster to check the consent for interview boys 15-17"
"109","HH39X.15","Roster to check the consent for interview boys 15-17"
"110","HH39X.16","Roster to check the consent for interview boys 15-17"
"111","HH39X.17","Roster to check the consent for interview boys 15-17"
"112","HH39X.18","Roster to check the consent for interview boys 15-17"
"113","HH39X.19","Roster to check the consent for interview boys 15-17"
"114","HH39X.20","Roster to check the consent for interview boys 15-17"
"115","HH39X.21","Roster to check the consent for interview boys 15-17"
"116","HH39X.22","Roster to check the consent for interview boys 15-17"
"117","HH39X.23","Roster to check the consent for interview boys 15-17"
"118","HH39X.24","Roster to check the consent for interview boys 15-17"
"119","HH39X.25","Roster to check the consent for interview boys 15-17"
"120","HH39X.26","Roster to check the consent for interview boys 15-17"
"121","HH39X.27","Roster to check the consent for interview boys 15-17"
"122","HH39X.28","Roster to check the consent for interview boys 15-17"
"123","HH39X.29","Roster to check the consent for interview boys 15-17"
"124","HH39X.30","Roster to check the consent for interview boys 15-17"
"125","HH39X.31","Roster to check the consent for interview boys 15-17"
"126","HH39X.32","Roster to check the consent for interview boys 15-17"
"127","HH39X.33","Roster to check the consent for interview boys 15-17"
"128","HH39X.34","Roster to check the consent for interview boys 15-17"
"129","HH39X.35","Roster to check the consent for interview boys 15-17"
"130","HH39X.36","Roster to check the consent for interview boys 15-17"
"131","HH39X.37","Roster to check the consent for interview boys 15-17"
"132","HH39X.38","Roster to check the consent for interview boys 15-17"
"133","HH39X.39","Roster to check the consent for interview boys 15-17"
"134","HH39X.40","Roster to check the consent for interview boys 15-17"
"135","HH39X.41","Roster to check the consent for interview boys 15-17"
"136","HH39X.42","Roster to check the consent for interview boys 15-17"
"137","HH39X.43","Roster to check the consent for interview boys 15-17"
"138","HH39X.44","Roster to check the consent for interview boys 15-17"
"139","HH39X.45","Roster to check the consent for interview boys 15-17"
"140","HH39X.46","Roster to check the consent for interview boys 15-17"
"141","HH39X.47","Roster to check the consent for interview boys 15-17"
"142","HH39X.48","Roster to check the consent for interview boys 15-17"
"143","HH39X.49","Roster to check the consent for interview boys 15-17"
"144","HH39X.50","Roster to check the consent for interview boys 15-17"
"145","HH39","Consent for interview boys 15-17"
"146","HH44","Consent for Water Quality Testing"
"147","HH46","Result of HH interview"
"148","HH47","Respondent to HH questionnaire"
"149","HH48","Number of HH members"
"150","HH49","Number of women 15 - 49 years"
"151","HH50","Number of men 15 - 49 years [If household is selected for Questionnaire for Men]"
"152","HH51","Number of children under age 5"
"153","HH52","Number of children age 5-17"
"154","HH53","Number of woman' questionnaires completed"
"155","HH53DF","Number of woman who stayed in the household last night and not interviewed"
"156","HH53DFN","Number of woman who did not stay in the household last night and were not interviewed"
"157","HH54","Number of man' questionnaires completed [If household is selected for Questionnaire for Men]"
"158","HH54DF","Number of man who stayed in the household last night and not interviewed [If household is selected for Questionnaire for Men]"
"159","HH54DFN","Number of man who did not stay in the household last night and were not interviewed [If household is selected for Questionnaire for Men]"
"160","HH50A","Number of men 15 - 49 years in interviewed households"
"161","HH55","Number of under - 5 questionnaires completed"
"162","HH55DF","Number of under-5 whose mother/caretaker stayed in the household last night and not interviewed"
"163","HH55DFN","Number of under-5 whose mother/caretaker did not stay in the household last night and were not interviewed"
"164","HH56","Number of CF questionnaires completed (age 5-17 years)"
"165","HH56DF","Number of children 5-17 whose mother/caretaker stayed in the household last night and not interviewed"
"166","HH56DFN","Number of children 5-17 whose mother/caretaker did not stayed in the household last night and were not interviewed"
"167","INTROHL","Introduction HH Listing"
"168","HHAUX","Other household members"
"169","HHWQ","Water Quality prompt"
"170","HHFIN","Finish"
"171","HC1B","Language of household head"
"172","HC2","Ethnicity of household head"
"173","HC3","Number of rooms used for sleeping"
"174","HC4","Main material of floor"
"175","HC5","Main material of roof"
"176","HC6","Main material of exterior wall"
"177","HC7A","Household have: Fixed telephone line"
"178","HC7B","Household have: Radio"
"179","HC7C","Household have: Bed and/or matteress"
"180","HC7D","Household have: Table and/or chairs"
"181","HC7E","Household have: Sofa set"
"182","HC7F","Household have: Cupboard/cabinet"
"183","HC7G","Household have: Wardrobe"
"184","HC7H","Household have: Coal/wood stove"
"185","HC7I","Household have: Torch/battery lamp"
"186","HC7J","Household have: Paraffin stove"
"187","HC7K","Household have: Paraffin heater"
"188","HC7L","Household have: Paraffin lamp"
"189","HC7M","Household have: Nkuke"
"190","HC7N","Household have: Paola"
"191","HC7O","Household have: Iron (Ntshoele)"
"192","HC8","Household have electricity"
"193","HC9A","Household have: Television"
"194","HC9B","Household have: Refrigerator"
"195","HC9C","Household have: Electric stove"
"196","HC9D","Household have: Electric heater"
"197","HC9E","Household have: Electric kettle"
"198","HC9F","Household have: Geyser"
"199","HC9G","Household have: DVD player / VCR"
"200","HC9H","Household have: Electric iron"
"201","HC10A","Any member of household own: Watch"
"202","HC10B","Any member of household own: Bicycle"
"203","HC10C","Any member of household own: Motorcycle or scooter"
"204","HC10D","Any member of household own: Animal-drawn scotchcart"
"205","HC10E","Any member of household own: Car, truck or van"
"206","HC10F","Any member of household own: Animal-drawn plough"
"207","HC10G","Any member of household own: Tractor"
"208","HC11","Any member have a computer"
"209","HC12","Any member have a mobile telephone"
"210","HC13","Internet access at home"
"211","HC14","Household owns the dwelling"
"212","HC15","Any household member own land that can be used for agriculture"
"213","HC16U","Units of agricultural land owned by household"
"214","HC16","Hectares/acres of agricultural land members of household owns"
"215","HC17","Household own any animals"
"216","HC18A","Milk cows or bulls"
"217","HC18B","Other cattle"
"218","HC18C","Horses, donkeys, or mules"
"219","HC18D","Goats"
"220","HC18E","Sheep"
"221","HC18F","Chickens"
"222","HC18G","Pigs"
"223","HC18H","Geese, Ducks"
"224","HC18I","Turkey"
"225","HC18J","Rabbits"
"226","HC19","Any household member own bank account"
"227","WS1","Main source of drinking water"
"228","WS2","Main source of water used for other purposes (if bottled water used for drinking)"
"229","WS3","Location of the water source"
"230","WS4","Time (in minutes) to get water and come back"
"231","WS5","Person collecting water"
"232","WS6","Number of times person collected water in the last seven days"
"233","WS7","There been any time in the last month without sufficient water"
"234","WS8","Main reason without sufficient water"
"235","WS9","Treat water to make safer for drinking"
"236","WS10A","Water treatment: Boil"
"237","WS10B","Water treatment: Add bleach/chlorine"
"238","WS10C","Water treatment: Strain it through a cloth"
"239","WS10D","Water treatment: Use water filter"
"240","WS10E","Water treatment: Solar disinfection"
"241","WS10F","Water treatment: Let it stand and settle"
"242","WS10X","Water treatment: Other"
"243","WS10Z","Water treatment: DK"
"244","WS10NR","Water treatment: No response"
"245","WS11","Type of toilet facility"
"246","WS12","Pit latrine or septic tank ever been emptied"
"247","WS13","Place the contents were emptied to"
"248","WS14","Location of the toilet faciltity"
"249","WS15","Toilet facility shared"
"250","WS16","Toilet shared with other household or with general public"
"251","WS17","Households using this toilet facility"
"252","HW1","Place where household members most often wash their hands"
"253","HW2","Water available at the place for handwashing"
"254","HW3","Soap or detergent present at place of handwashing"
"255","HW4","Usual place for handwashing"
"256","HW5","Soap/other material available for washing hands"
"257","HW6","Hand washing material shown"
"258","HW7A","Bar soap"
"259","HW7B","Detergent (Powder / Liquid / Paste)"
"260","HW7C","Ash / Mud / Sand"
"261","HW7NR","No response"
"262","WQ1","Cluster number"
"263","WQ2","Household number"
"264","measurer_id","Measure number"
"265","WQ4","Interviewe number"
"266","WQ5D","Day of water testing"
"267","WQ5M","Month of water testing"
"268","WQ5Y","Year of interview"
"269","WQ6","HH selected for blank testing"
"270","WQ8","Consent for water testing"
"271","WQ31","Result of water quality testing"
"272","WQ10H","Start of water quality test - Hour"
"273","WQ10M","Start of water quality test - Minutes"
"274","WQ23H","End of water quality test - Hour"
"275","WQ23M","End of water quality test - Minutes"
"276","HH_water_sample_provided","A glass of water that members of household usually drink was provided"
"277","observe_HH_sample_collection","Water was collected from the source"
"278","WQ14","Done anything to the water to make it safer to drink"
"279","WQ15A","Water treatment: Boil"
"280","WQ15B","Water treatment: Add bleach/chlorine"
"281","WQ15C","Water treatment: Strain it through a cloth"
"282","WQ15D","Water treatment: Use water filter"
"283","WQ15E","Water treatment: Solar disinfection"
"284","WQ15F","Water treatment: Let it stand and settle"
"285","WQ15X","Water treatment: Other"
"286","WQ15Z","Water treatment: DK"
"287","WQ15NR","Water treatment: No response"
"288","WQ16","Was the glass of water from the main source"
"289","source_HH_sample","Source of water where the glass of water was collected"
"290","permission_water_sample_SC","Main source of water was shown"
"291","EC_SC_tst_conducted","Source water sample collected"
"292","WQ20","HH selected for blank testing"
"293","WQ21","Blank water test available"
"294","WQ24D","Day of recording test results"
"295","WQ24M","Month of recording test results"
"296","WQ24Y","Year of recording test results"
"297","WQ25H","Time of recording test results - Hour"
"298","WQ25M","Time of recording test results - Minutes"
"299","EC_100_H","Household water test (100ml) - Number of blue colonies"
"300","EC_100_S","Source water test (100ml) - Number of blue colonies"
"301","EC_100_B","Blank water test (100ml) - Number of blue colonies"
"302","hhsex","Sex of household head"
"303","HHAGE","Age of household head"
"304","area_type","Area of residence"
"305","region","Ecological zone"
"306","helevel","Education of household head"
"307","hhweight","Household sample weight"
"308","wqhweight","Weight for household WQT"
"309","wqsweight","Weight for source WQT"
"310","wscore","Combined wealth score"
"311","windex5","Wealth index quintile"
"312","windex10","Percentile Group of com1"
"313","wscoreu","Urban wealth score"
"314","windex5u","Urban wealth index quintile"
"315","windex10u","Percentile Group of urb1"
"316","wscorer","Rural wealth score"
"317","windex5r","Rural wealth index quintile"
"318","windex10r","Percentile Group of rur1"
"319","psu","Primary sampling unit"
"320","stratum","Stratum"
"321","HH6A_lab","Settlement type"
"322","HH7A_lab","District"
"323","HH8_lab","HH selected for Questionnaire for Men"
"324","HH_selected_household_lab","HH selected for Water Quality Testing"
"325","HH_selected_blank_lab","HH selected for blank testing"
"326","HH12_lab","Consent"
"327","HH14_lab","Language of the Questionnaire"
"328","HH15_lab","Language of the Interview"
"329","HH16_lab","Native language of the Respondent"
"330","HH17_lab","Translator used"
"331","HH26B_lab","Child line number"
"332","HH33X.01_lab","Roster to check the consent for interview girls 15-17"
"333","HH33X.02_lab","Roster to check the consent for interview girls 15-17"
