"","name","label"
"1","clust_num","Numéro de grappe"
"2","HH_num","Numéro de ménage"
"3","HH3","Numéro de l'enquêteur"
"4","HH4","Numéro du chef d'équipe"
"5","HH5D","Jour de l'interview"
"6","HH5M","Mois de l'interview"
"7","HH5Y","Année de l'enquête"
"8","area_type","Milieu"
"9","region","Région"
"10","HH8","Ménage sélectionné pour le questionnaire hommes"
"11","HH_selected_household","Ménage sélectionné pour le test de la qualité de l'eau"
"12","HH_selected_blank","Ménage sélectionné pour le test à blanc"
"13","HH10A","Menage selectionnée pour VD"
"14","HH11H","Début de l'interview - Heure"
"15","HH11M","Début de l'interview - Minutes"
"16","HH12","Consentement"
"17","HH13H","Fin de l'interview - Heure"
"18","HH13M","Fin de l'interview - Minutes"
"19","HH14","Langue du questionnaire"
"20","HH15","Langue de l'interview"
"21","HH16","Langue maternelle du répondant"
"22","HH17","Utilisation de traducteur"
"23","HH26A","Rang de l'enfant sélectionné"
"24","HH26B","Numéro de ligne de l'enfant sélectionné"
"25","HH26C","Age de l'enfant sélectionné"
"26","HH30B","Nombre de femmes de 15 à 49 ans éligibles au module VD"
"27","HH30E","Numéro de rang de la femme sélectionnée pour le module VD"
"28","HH30F","Numéro de ligne femme"
"29","HH30G","Âge de la femme"
"30","HH33","Consentement à interviewer les filles de 15 à 17 ans"
"31","HH39","Consentement pour les enfants de 15-17"
"32","HH44","Consentement pour le test de la qualité de l'eau"
"33","HH46","Résultat de l'enquête"
"34","HH47","Répondant au questionnaire ménage"
"35","HH48","Nombre de membres du ménage"
"36","HH49","Nombre de femmes de 15 à 49 ans"
"37","HH52","Nombre d'enfants de 5 à 17 ans"
"38","HH52A","Nombre de femmes de 15 à 49 ans [Si le ménage est sélectionné pour le module"
"39","HH53","Nombre de questionnaires remplis"
"40","HH50","Nombre d'hommes de 15 à 49 ans [Si le ménage est sélectionné pour le Questio"
"41","HH54","Nombre de questionnaires masculins remplis [Si le ménage est sélectionné pour"
"42","HH50A","Nombre d'hommes de 15 à 49 ans dans les ménages interrogés"
"43","HH51","Nombre d'enfants de moins de 5 ans"
"44","HH55","Nombre de questionnaires de moins de 5 ans remplis"
"45","HH56","Nombre de questionnaires des FC remplis (5 à 17 ans)"
"46","HH56A","Nombre de questionnaires DV complétés (15-49 ans)"
"47","INTROHL","Introduction à la liste des membres du ménage"
"48","HHAUX","Autres membres"
"49","HHWQ","Water Quality prompt"
"50","HHFIN","Fin"
"51","HC1A","Religion du chef de ménage"
"52","HC1B","Langue maternelle du chef de ménage"
"53","HC3","Nombre de pièces utilisées pour dormir"
"54","HC4","Matériau principal du sol"
"55","HC5","Matériau principal du toit"
"56","HC6","Matériau principal des murs extérieurs"
"57","HC7A","Ménage a: une ligne de téléphone fixe"
"58","HC7B","Ménage a: Radio avec piles"
"59","HC7C","Ménage a: Table"
"60","HC7D","Ménage a: Chaise"
"61","HC7E","Ménage a: Lit"
"62","HC7F","Ménage a: Fauteuil/canapé"
"63","HC8","Ménage a l'électricité"
"64","HC9A","Ménage a: Télévision"
"65","HC9B","Ménage a: Réfrigérateur"
"66","HC9C","Ménage a: Lecteur CD/DVD/DVX"
"67","HC9D","Ménage a: Chauffe eau"
"68","HC9E","Ménage a: Ventilateur"
"69","HC10A","Un membre du ménage a: Une montre"
"70","HC10B","Un membre du ménage a: Une bicylcette"
"71","HC10C","Un membre du ménage a: Une mobylette ou une moto"
"72","HC10D","Un membre du ménage a: Une charrette tirée par un animal"
"73","HC10E","Un membre du ménage a: Une voiture, un camion, une camionnette"
"74","HC10F","Un membre du ménage a: Un bâteau, une pirogue"
"75","HC10G","Un membre du ménage a: Charrue"
"76","HC10H","Un membre du ménage a: Machine a  coudre"
"77","HC10I","Un membre du ménage a: Tracteur / motoculteur"
"78","HC11","Un membre du ménage a un ordinateur ou une tablette"
"79","HC12","Un membre du ménage a un téléphone portable"
"80","HC13","Internet à la maison"
"81","HC14","Statut d'occupation du logement"
"82","HC15","Un membre du ménage a de la terre agricole"
"83","HC16","Nombre d'hectares de terre agricole possédée"
"84","HC17","Le ménage a des animaux"
"85","HC18A","Ménage a: Vaches laitières ou taureaux"
"86","HC18B","Ménage a: Zebus"
"87","HC18C","Ménage a: Chevaux, ânes, mulets/mules"
"88","HC18D","Ménage a: Chèvres"
"89","HC18E","Ménage a: Moutons"
"90","HC18F","Ménage a: Poulets, pintades, canards"
"91","HC18G","Ménage a: Porcs, cochons"
"92","HC18H","Ménage a: Autres volailles"
"93","HC19","Un membre du ménage a un compte en banque"
"94","ST2_1","Aware of (name of programme)"
"95","ST2_2","Aware of (name of programme)"
"96","ST2_3","Aware of (name of programme)"
"97","ST2_4","Aware of (name of programme)"
"98","ST2_5","Aware of (name of programme)"
"99","ST2_6","Aware of (name of programme)"
"100","ST2_7","Aware of (name of programme)"
"101","ST2_8","Aware of (name of programme)"
"102","ST3_1","Received assistance through (name of programme)"
"103","ST3_2","Received assistance through (name of programme)"
"104","ST3_3","Received assistance through (name of programme)"
"105","ST3_4","Received assistance through (name of programme)"
"106","ST3_5","Received assistance through (name of programme)"
"107","ST3_6","Received assistance through (name of programme)"
"108","ST3_7","Received assistance through (name of programme)"
"109","ST3_8","Received assistance through (name of programme)"
"110","ST4U_1","Last time assistance was received (unit)"
"111","ST4U_2","Last time assistance was received (unit)"
"112","ST4U_3","Last time assistance was received (unit)"
"113","ST4U_4","Last time assistance was received (unit)"
"114","ST4U_5","Last time assistance was received (unit)"
"115","ST4U_6","Last time assistance was received (unit)"
"116","ST4U_7","Last time assistance was received (unit)"
"117","ST4U_8","Last time assistance was received (unit)"
"118","ST4N_1","Last time assistance was received (number)"
"119","ST4N_2","Last time assistance was received (number)"
"120","ST4N_3","Last time assistance was received (number)"
"121","ST4N_4","Last time assistance was received (number)"
"122","ST4N_5","Last time assistance was received (number)"
"123","ST4N_6","Last time assistance was received (number)"
"124","ST4N_7","Last time assistance was received (number)"
"125","ST4N_8","Last time assistance was received (number)"
"126","ST4A_1","Nombre de fois assistance recue"
"127","ST4A_2","Nombre de fois assistance recue"
"128","ST4A_3","Nombre de fois assistance recue"
"129","ST4A_4","Nombre de fois assistance recue"
"130","ST4A_5","Nombre de fois assistance recue"
"131","ST4A_6","Nombre de fois assistance recue"
"132","ST4A_7","Nombre de fois assistance recue"
"133","ST4A_8","Nombre de fois assistance recue"
"134","ST4B_1","Type d'organisation a donne l'assistance"
"135","ST4B_2","Type d'organisation a donne l'assistance"
"136","ST4B_3","Type d'organisation a donne l'assistance"
"137","ST4B_4","Type d'organisation a donne l'assistance"
"138","ST4B_5","Type d'organisation a donne l'assistance"
"139","ST4B_6","Type d'organisation a donne l'assistance"
"140","ST4B_7","Type d'organisation a donne l'assistance"
"141","ST4B_8","Type d'organisation a donne l'assistance"
"142","ST4C_1","Mecanisme de paiement/distribution/compensation"
"143","ST4C_2","Mecanisme de paiement/distribution/compensation"
"144","ST4C_3","Mecanisme de paiement/distribution/compensation"
"145","ST4C_4","Mecanisme de paiement/distribution/compensation"
"146","ST4C_5","Mecanisme de paiement/distribution/compensation"
