"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","HH3","Interviewer number"
"4","HH4","Supervisor number"
"5","HH5D","Day of interview"
"6","HH5M","Month of interview"
"7","HH5Y","Year of interview"
"8","area_type","Area"
"9","region","Districts"
"10","HH8","HH selected for Questionnaire for Men"
"11","HH_selected_household","HH selected for Water Quality Testing"
"12","HH_selected_blank","HH selected for blank testing"
"13","HH11H","Start of interview - Hour"
"14","HH11M","Start of interview - Minutes"
"15","HH12","Consent"
"16","HH46","Result of HH interview"
"17","HH13H","End of interview - Hour"
"18","HH13M","End of interview - Minutes"
"19","HH14","Language of the questionnaire"
"20","HH15","Language of the interview"
"21","HH16","Native language of the respondent"
"22","HH17","Translator used"
"23","HH26A","Rank number of the selected child"
"24","HH26B","Child line number"
"25","HH26C","Child's age"
"26","HH33X_01","Roster to check the consent for interview girls 15-17"
"27","HH33X_02","Roster to check the consent for interview girls 15-17"
"28","HH33X_03","Roster to check the consent for interview girls 15-17"
"29","HH33X_04","Roster to check the consent for interview girls 15-17"
"30","HH33X_05","Roster to check the consent for interview girls 15-17"
"31","HH33X_06","Roster to check the consent for interview girls 15-17"
"32","HH33X_07","Roster to check the consent for interview girls 15-17"
"33","HH33X_08","Roster to check the consent for interview girls 15-17"
"34","HH33X_09","Roster to check the consent for interview girls 15-17"
"35","HH33X_10","Roster to check the consent for interview girls 15-17"
"36","HH33X_11","Roster to check the consent for interview girls 15-17"
"37","HH33X_12","Roster to check the consent for interview girls 15-17"
"38","HH33X_13","Roster to check the consent for interview girls 15-17"
"39","HH33X_14","Roster to check the consent for interview girls 15-17"
"40","HH33X_15","Roster to check the consent for interview girls 15-17"
"41","HH33X_16","Roster to check the consent for interview girls 15-17"
"42","HH33X_17","Roster to check the consent for interview girls 15-17"
"43","HH33X_18","Roster to check the consent for interview girls 15-17"
"44","HH33X_19","Roster to check the consent for interview girls 15-17"
"45","HH33X_20","Roster to check the consent for interview girls 15-17"
"46","HH33X_21","Roster to check the consent for interview girls 15-17"
"47","HH33X_22","Roster to check the consent for interview girls 15-17"
"48","HH33X_23","Roster to check the consent for interview girls 15-17"
"49","HH33X_24","Roster to check the consent for interview girls 15-17"
"50","HH33X_25","Roster to check the consent for interview girls 15-17"
"51","HH33X_26","Roster to check the consent for interview girls 15-17"
"52","HH33X_27","Roster to check the consent for interview girls 15-17"
"53","HH33X_28","Roster to check the consent for interview girls 15-17"
"54","HH33X_29","Roster to check the consent for interview girls 15-17"
"55","HH33X_30","Roster to check the consent for interview girls 15-17"
"56","HH33X_31","Roster to check the consent for interview girls 15-17"
"57","HH33X_32","Roster to check the consent for interview girls 15-17"
"58","HH33X_33","Roster to check the consent for interview girls 15-17"
"59","HH33X_34","Roster to check the consent for interview girls 15-17"
"60","HH33X_35","Roster to check the consent for interview girls 15-17"
"61","HH33X_36","Roster to check the consent for interview girls 15-17"
"62","HH33X_37","Roster to check the consent for interview girls 15-17"
"63","HH33X_38","Roster to check the consent for interview girls 15-17"
"64","HH33X_39","Roster to check the consent for interview girls 15-17"
"65","HH33X_40","Roster to check the consent for interview girls 15-17"
"66","HH33X_41","Roster to check the consent for interview girls 15-17"
"67","HH33X_42","Roster to check the consent for interview girls 15-17"
"68","HH33X_43","Roster to check the consent for interview girls 15-17"
"69","HH33X_44","Roster to check the consent for interview girls 15-17"
"70","HH33X_45","Roster to check the consent for interview girls 15-17"
"71","HH33X_46","Roster to check the consent for interview girls 15-17"
"72","HH33X_47","Roster to check the consent for interview girls 15-17"
"73","HH33X_48","Roster to check the consent for interview girls 15-17"
"74","HH33X_49","Roster to check the consent for interview girls 15-17"
"75","HH33X_50","Roster to check the consent for interview girls 15-17"
"76","HH33","Consent for interview girls 15-17"
"77","HH39X_01","Roster to check the consent for interview boys 15-17"
"78","HH39X_02","Roster to check the consent for interview boys 15-17"
"79","HH39X_03","Roster to check the consent for interview boys 15-17"
"80","HH39X_04","Roster to check the consent for interview boys 15-17"
"81","HH39X_05","Roster to check the consent for interview boys 15-17"
"82","HH39X_06","Roster to check the consent for interview boys 15-17"
"83","HH39X_07","Roster to check the consent for interview boys 15-17"
"84","HH39X_08","Roster to check the consent for interview boys 15-17"
"85","HH39X_09","Roster to check the consent for interview boys 15-17"
"86","HH39X_10","Roster to check the consent for interview boys 15-17"
"87","HH39X_11","Roster to check the consent for interview boys 15-17"
"88","HH39X_12","Roster to check the consent for interview boys 15-17"
"89","HH39X_13","Roster to check the consent for interview boys 15-17"
"90","HH39X_14","Roster to check the consent for interview boys 15-17"
"91","HH39X_15","Roster to check the consent for interview boys 15-17"
"92","HH39X_16","Roster to check the consent for interview boys 15-17"
"93","HH39X_17","Roster to check the consent for interview boys 15-17"
"94","HH39X_18","Roster to check the consent for interview boys 15-17"
"95","HH39X_19","Roster to check the consent for interview boys 15-17"
"96","HH39X_20","Roster to check the consent for interview boys 15-17"
"97","HH39X_21","Roster to check the consent for interview boys 15-17"
"98","HH39X_22","Roster to check the consent for interview boys 15-17"
"99","HH39X_23","Roster to check the consent for interview boys 15-17"
"100","HH39X_24","Roster to check the consent for interview boys 15-17"
"101","HH39X_25","Roster to check the consent for interview boys 15-17"
"102","HH39X_26","Roster to check the consent for interview boys 15-17"
"103","HH39X_27","Roster to check the consent for interview boys 15-17"
"104","HH39X_28","Roster to check the consent for interview boys 15-17"
"105","HH39X_29","Roster to check the consent for interview boys 15-17"
"106","HH39X_30","Roster to check the consent for interview boys 15-17"
"107","HH39X_31","Roster to check the consent for interview boys 15-17"
"108","HH39X_32","Roster to check the consent for interview boys 15-17"
"109","HH39X_33","Roster to check the consent for interview boys 15-17"
"110","HH39X_34","Roster to check the consent for interview boys 15-17"
"111","HH39X_35","Roster to check the consent for interview boys 15-17"
"112","HH39X_36","Roster to check the consent for interview boys 15-17"
"113","HH39X_37","Roster to check the consent for interview boys 15-17"
"114","HH39X_38","Roster to check the consent for interview boys 15-17"
"115","HH39X_39","Roster to check the consent for interview boys 15-17"
"116","HH39X_40","Roster to check the consent for interview boys 15-17"
"117","HH39X_41","Roster to check the consent for interview boys 15-17"
"118","HH39X_42","Roster to check the consent for interview boys 15-17"
"119","HH39X_43","Roster to check the consent for interview boys 15-17"
"120","HH39X_44","Roster to check the consent for interview boys 15-17"
"121","HH39X_45","Roster to check the consent for interview boys 15-17"
"122","HH39X_46","Roster to check the consent for interview boys 15-17"
"123","HH39X_47","Roster to check the consent for interview boys 15-17"
"124","HH39X_48","Roster to check the consent for interview boys 15-17"
"125","HH39X_49","Roster to check the consent for interview boys 15-17"
"126","HH39X_50","Roster to check the consent for interview boys 15-17"
"127","HH39","Consent for interview boys 15-17"
"128","HH44","Consent for Water Quality Testing"
"129","HH47","Respondent to HH questionnaire"
"130","HH48","Number of HH members"
"131","HH49","Number of women 15 - 49 years"
"132","HH50","Number of men 15 - 49 years"
"133","HH50A","Number of men 15 - 49 years in interviewed households"
"134","HH51","Number of children under age 5"
"135","HH52","Number of children age 5-17"
"136","HH53","Number of woman' questionnaires completed"
"137","HH54","Number of man' questionnaires completed"
"138","HH55","Number of under - 5 questionnaires completed"
"139","HH56","Number of CF questionnaires completed (age 5-17 years)"
"140","INTROHL","Introduction HH Listing"
"141","HHAUX","Other household memebers"
"142","HHWQ","Water Quality prompt"
"143","HHFIN","Finish"
"144","HC1B","Language of household head"
"145","HC3","Number of rooms used for sleeping"
"146","HC4","Main material of floor"
"147","HC5","Main material of roof"
"148","HC6","Main material of exterior wall"
"149","HC7A","Household have: Fixed telephone line"
"150","HC7B","Household have: Radio"
"151","HC7C","Household have: Gas Heater"
"152","HC7D","Household have: Cooking Range"
"153","HC7E","Household have: Sewing Machine (without electric motor)"
"154","HC7F","Household have: An iron (Gas/ Coal)"
"155","HC7G","Household have: Bed"
"156","HC7H","Household have: Sofa"
"157","HC7I","Household have: Cupboard"
"158","HC7J","Household have: Wall Clock"
"159","HC8","Household have electricity"
"160","HC9A","Household have: Television"
"161","HC9B","Household have: Refrigerator"
"162","HC9C","Household have: Washing Machine/ Dryer"
"163","HC9D","Household have: Air Cooler/ Fan"
"164","HC9E","Household have: Microwave Oven"
"165","HC9F","Household have: Electric Iron"
"166","HC9G","Household have: Water Filter"
"167","HC9H","Household have: Donkey Pump/ Turbine"
"168","HC9I","Household have: Air conditioner"
"169","HC9J","Household have: Sewing Machine (with electirc motor)"
"170","HC10A","Any member of household own: Watch"
"171","HC10B","Any member of household own: Bicycle"
"172","HC10C","Any member of household own: Motorcycle or scooter"
"173","HC10D","Any member of household own: Animal-drawn cart"
"174","HC10E","Any member of household own: Car, truck or van"
"175","HC10F","Any member of household own: Boat with motor"
"176","HC10G","Any member of household own: Tractor Trolley"
"177","HC10H","Any member of household own: Autorickshaw/ Chingchi"
"178","HC11","Any member have a computer"
"179","HC12","Any member have a mobile telephone"
"180","HC13","Internet access at home"
"181","HC14","Household owns the dwelling"
"182","HC15","Any household member own land that can be used for agriculture"
"183","HC16","Hectares of agricultural land members of household owns"
"184","HC17","Household own any animals"
"185","HC18A","Milk cows, buffaloes or bulls"
"186","HC18B","Other cattle"
"187","HC18C","Horses, donkeys, camel or mules"
"188","HC18D","Goats"
"189","HC18E","Sheep"
"190","HC18F","Chickens"
"191","HC18H","Ducks/Turkey"
"192","HC19","Any household member own bank account"
"193","ST2_1","Aware of (name of programme)"
"194","ST2_2","Aware of (name of programme)"
"195","ST2_3","Aware of (name of programme)"
"196","ST2_4","Aware of (name of programme)"
"197","ST2_5","Aware of (name of programme)"
"198","ST2_6","Aware of (name of programme)"
"199","ST3_1","Received assistance through (name of programme)"
"200","ST3_2","Received assistance through (name of programme)"
"201","ST3_3","Received assistance through (name of programme)"
"202","ST3_4","Received assistance through (name of programme)"
"203","ST3_5","Received assistance through (name of programme)"
"204","ST3_6","Received assistance through (name of programme)"
"205","ST4U_1","Last time assistance was received (unit)"
"206","ST4U_2","Last time assistance was received (unit)"
"207","ST4U_3","Last time assistance was received (unit)"
"208","ST4U_4","Last time assistance was received (unit)"
"209","ST4U_5","Last time assistance was received (unit)"
"210","ST4U_6","Last time assistance was received (unit)"
"211","ST4N_1","Last time assistance was received (number)"
"212","ST4N_2","Last time assistance was received (number)"
"213","ST4N_3","Last time assistance was received (number)"
"214","ST4N_4","Last time assistance was received (number)"
"215","ST4N_5","Last time assistance was received (number)"
"216","ST4N_6","Last time assistance was received (number)"
"217","RM1","Working outside this country"
"218","RM2","Number of persons working outside this country"
"219","RM3","Household receive remittances from outside the country"
"220","RM4","Household receive any cash donation from within the country"
"221","EU1","Type of cookstove mainly used for cooking"
"222","EU2","Cookstove have a chimney"
"223","EU3","Cookstove have a fan"
"224","EU4","Type of energy source for cookstove"
"225","EU5","Place for cooking"
"226","EU6","Type of space heating in household"
"227","EU7","Space heater have a chimney"
"228","EU8","Type of energy source for heater"
"229","EU9","Type of lighting in household"
"230","WS1","Main source of drinking water"
"231","WS2","Main source of water used for other purposes (if bottled water used for drinking"
"232","WS3","Location of the water source"
"233","WS4","Time (in minutes) to get water and come back"
"234","WS5","Person collecting water"
"235","WS6","Number of times person collected water in the last seven days"
"236","WS7","There been any time in the last month without sufficient water"
"237","WS8","Main reason without sufficient water"
"238","WS9","Treat water to make safer for drinking"
"239","WS10A","Water treatment: Boil"
"240","WS10B","Water treatment: Add bleach/chlorine"
"241","WS10C","Water treatment: Strain it through a cloth"
"242","WS10D","Water treatment: Use water filter"
"243","WS10E","Water treatment: Solar disinfection"
"244","WS10F","Water treatment: Let it stand and settle"
"245","WS10X","Water treatment: Other"
"246","WS10Z","Water treatment: DK"
"247","WS10NR","Water treatment: Missing"
"248","WS11","Type of toilet facility"
"249","WS12","Pit latrine or septic tank ever been emptied"
"250","WS13","Place the contents were emptied"
"251","WS14","Location of the toilet faciltity"
"252","WS15","Toilet facility shared"
"253","WS16","Toilet shared with other household or with general public"
"254","WS17","Households using this toilet facility"
"255","HW1","Place where household members most often wash their hands"
"256","HW2","Water available at the place for handwashing"
"257","HW3","Soap or detergent present at place of handwashing"
"258","HW4","Usual place for handwashing"
"259","HW5","Soap or detergent available for washing hands"
"260","HW6","Hand washing material shown"
"261","HW7A","Bar soap"
"262","HW7B","Detergent (Powder / Liquid / Paste)"
"263","HW7NR","Missing"
"264","SA1","Salt iodization test outcome"
"265","SA2","Salt iodization recheck test outcome"
"266","WQ1","Cluster number"
"267","WQ2","Household number"
"268","measurer_id","Measurer's number"
"269","WQ4","Supervisor's number"
"270","WQ5D","Day of interview"
"271","WQ5M","Month of interview"
"272","WQ5Y","Year of interview"
"273","WQ6","HH selected for blank testing"
"274","WQ8","Consent for water testing"
"275","WQ31","Result of water quality testing"
"276","WQ10H","Start of water quality test - Hour"
"277","WQ10M","Start of water quality test - Minutes"
"278","WQ22H","End of water quality test - Hour"
"279","WQ22M","End of water quality test - Minutes"
"280","HH_water_sample_provided","Glass of the water that members of your household usually drink"
"281","observe_HH_sample_collection","whether the water was collected directly from the source or from a separate stor"
"282","WQ13","Have you labled sample"
"283","WQ14","Done anything to the water to make it safer to drink"
"284","WQ15A","Water treatment: Boil"
"285","WQ15B","Water treatment: Add bleach/chlorine"
"286","WQ15C","Water treatment: Strain it through a cloth"
"287","WQ15D","Water treatment: Use water filter"
"288","WQ15E","Water treatment: Solar disinfection"
"289","WQ15F","Water treatment: Let it stand and settle"
"290","WQ15X","Water treatment: Other"
"291","WQ15Z","Water treatment: DK"
"292","WQ15NR","Water treatment: Missing"
"293","WQ16","Was the glass water from the main source"
"294","source_HH_sample","Source of water where the glass of water was collected"
"295","permission_water_sample_SC","Main source of water was shown"
"296","EC_SC_tst_conducted","Source water sample collected"
"297","WQ20","HH selected for blank testing"
"298","EC_BK_tst_conducted","Blank water test available"
"299","WQ23H","End of water quality test - Hour"
"300","WQ23M","End of water quality test - Minutes"
"301","WQ24D","Day of of recording test results"
"302","WQ24M","Month of of recording test results"
"303","WQ24Y","Year of of recording test results"
"304","EC_100_H","Household water test (100ml)"
"305","EC_100_S","Source water test (100ml)"
"306","EC_100_B","Blank water test (100ml)"
"307","WQ25M","End of water quality test - Hour"
"308","WQ25H","End of water quality test - Minutes"
"309","HHSEX","Sex of household head"
"310","HHAGE","Age of household head"
"311","wscore","Combined wealth score"
"312","windex5","Wealth index quintile"
"313","windex10","Percentile Group of com1"
"314","wscoreu","Urban wealth score"
"315","windex5u","Urban wealth index quintile"
"316","windex10u","Percentile Group of urb1"
"317","wscorer","Rural wealth score"
"318","windex5r","Rural wealth index quintile"
"319","windex10r","Percentile Group of rur1"
"320","HH6r","Area"
"321","division","Division"
"322","suburban","Major city / Other urban"
"323","helevel","Education of household head"
"324","hhweight","Household sample weight"
"325","wqhweight","Weight for household WQT"
"326","wshweight","Weight for source WQT"
"327","wqsweight","Weight for source WQT"
"328","psu","Primary sampling unit"
"329","stratum","Stratum"
"330","ID","NULL"
"331","HH_selected_source","HH selected for Water Quality Testing"
"332","wat_class","Main water source type"
"333","wat_imp","Main water source improved"
"334","accessible","NULL"
"335","accessible_cat","NULL"
"336","available","NULL"
"337","storage","RECODE of observe_HH_sample_collection (whether the water was collected directly"
"338","treat_any","NULL"
"339","treat_boil","NULL"
"340","treat_chlorine","NULL"
"341","treat_filter","NULL"
"342","san_imp","RECODE of WS11 (Type of toilet facility)"
"343","san_cat","RECODE of WS11 (Type of toilet facility)"
