"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","childLN","Child's line number"
"4","UF4","Mother / Caretaker's line number"
"5","BD2","Child ever been breastfed"
"6","BD3","Child still being breastfed"
"7","CA1","Child had diarrhoea in last 2 weeks"
"8","CA14","Child ill with fever in last 2 weeks"
"9","CA16","Child ill with cough in last 2 weeks"
"10","CA17","Difficulty breathing during illness with cough"
"11","CA18","Symptoms due to problem in chest or blocked nose"
"12","CA20","Sought advice or treatment for illness"
"13","HL4","Sex"
"14","CAGED","Age (in days)"
"15","HAZ2","Height for age z-score WHO"
"16","WAZ2","Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Mother's education"
"22","HH3","Interviewer number"
"23","HH4","Supervisor number"
"24","HH5D","Day of interview"
"25","HH5M","Month of interview"
"26","HH5Y","Year of interview"
"27","area_type","Area"
"28","region","Region"
"29","HH8","HH selected for Questionnaire for Men"
"30","HH_selected_household","HH selected for Water Quality Testing"
"31","HH_selected_blank","HH selected for Blank Testing"
"32","HH11H","Start of interview - Hour"
"33","HH11M","Start of interview - Minutes"
"34","HH12","Consent"
"35","HH13H","End of interview - Hour"
"36","HH13M","End of interview - Minutes"
"37","HH14","Language of the Questionnaire"
"38","HH15","Language of the Interview"
"39","HH16","Native language of the Respondent"
"40","HH17","Translator used"
"41","HH26A","Rank number of the selected child"
"42","HH26B","Child line number"
"43","HH26C","Child's age"
"44","HH30HA","Rank number of the selected woman"
"45","HH30HB","Woman line number"
"46","HH30HC","Woman's age"
"47","HH33X.01","Roster to check the consent for interview girls 15-17"
"48","HH33X.02","Roster to check the consent for interview girls 15-17"
"49","HH33X.03","Roster to check the consent for interview girls 15-17"
"50","HH33X.04","Roster to check the consent for interview girls 15-17"
"51","HH33X.05","Roster to check the consent for interview girls 15-17"
"52","HH33X.06","Roster to check the consent for interview girls 15-17"
"53","HH33X.07","Roster to check the consent for interview girls 15-17"
"54","HH33X.08","Roster to check the consent for interview girls 15-17"
"55","HH33X.09","Roster to check the consent for interview girls 15-17"
"56","HH33X.10","Roster to check the consent for interview girls 15-17"
"57","HH33X.11","Roster to check the consent for interview girls 15-17"
"58","HH33X.12","Roster to check the consent for interview girls 15-17"
"59","HH33X.13","Roster to check the consent for interview girls 15-17"
"60","HH33X.14","Roster to check the consent for interview girls 15-17"
"61","HH33X.15","Roster to check the consent for interview girls 15-17"
"62","HH33X.16","Roster to check the consent for interview girls 15-17"
"63","HH33X.17","Roster to check the consent for interview girls 15-17"
"64","HH33X.18","Roster to check the consent for interview girls 15-17"
"65","HH33X.19","Roster to check the consent for interview girls 15-17"
"66","HH33X.20","Roster to check the consent for interview girls 15-17"
"67","HH33X.21","Roster to check the consent for interview girls 15-17"
"68","HH33X.22","Roster to check the consent for interview girls 15-17"
"69","HH33X.23","Roster to check the consent for interview girls 15-17"
"70","HH33X.24","Roster to check the consent for interview girls 15-17"
"71","HH33X.25","Roster to check the consent for interview girls 15-17"
"72","HH33X.26","Roster to check the consent for interview girls 15-17"
"73","HH33X.27","Roster to check the consent for interview girls 15-17"
"74","HH33X.28","Roster to check the consent for interview girls 15-17"
"75","HH33X.29","Roster to check the consent for interview girls 15-17"
"76","HH33X.30","Roster to check the consent for interview girls 15-17"
"77","HH33X.31","Roster to check the consent for interview girls 15-17"
"78","HH33X.32","Roster to check the consent for interview girls 15-17"
"79","HH33X.33","Roster to check the consent for interview girls 15-17"
"80","HH33X.34","Roster to check the consent for interview girls 15-17"
"81","HH33X.35","Roster to check the consent for interview girls 15-17"
"82","HH33X.36","Roster to check the consent for interview girls 15-17"
"83","HH33X.37","Roster to check the consent for interview girls 15-17"
"84","HH33X.38","Roster to check the consent for interview girls 15-17"
"85","HH33X.39","Roster to check the consent for interview girls 15-17"
"86","HH33X.40","Roster to check the consent for interview girls 15-17"
"87","HH33X.41","Roster to check the consent for interview girls 15-17"
"88","HH33X.42","Roster to check the consent for interview girls 15-17"
"89","HH33X.43","Roster to check the consent for interview girls 15-17"
"90","HH33X.44","Roster to check the consent for interview girls 15-17"
"91","HH33X.45","Roster to check the consent for interview girls 15-17"
"92","HH33X.46","Roster to check the consent for interview girls 15-17"
"93","HH33X.47","Roster to check the consent for interview girls 15-17"
"94","HH33X.48","Roster to check the consent for interview girls 15-17"
"95","HH33X.49","Roster to check the consent for interview girls 15-17"
"96","HH33X.50","Roster to check the consent for interview girls 15-17"
"97","HH33","Consent for interview girls 15-17"
"98","HH39X.01","Roster to check the consent for interview boys 15-17"
"99","HH39X.02","Roster to check the consent for interview boys 15-17"
"100","HH39X.03","Roster to check the consent for interview boys 15-17"
"101","HH39X.04","Roster to check the consent for interview boys 15-17"
"102","HH39X.05","Roster to check the consent for interview boys 15-17"
"103","HH39X.06","Roster to check the consent for interview boys 15-17"
"104","HH39X.07","Roster to check the consent for interview boys 15-17"
"105","HH39X.08","Roster to check the consent for interview boys 15-17"
"106","HH39X.09","Roster to check the consent for interview boys 15-17"
"107","HH39X.10","Roster to check the consent for interview boys 15-17"
"108","HH39X.11","Roster to check the consent for interview boys 15-17"
"109","HH39X.12","Roster to check the consent for interview boys 15-17"
"110","HH39X.13","Roster to check the consent for interview boys 15-17"
"111","HH39X.14","Roster to check the consent for interview boys 15-17"
"112","HH39X.15","Roster to check the consent for interview boys 15-17"
"113","HH39X.16","Roster to check the consent for interview boys 15-17"
"114","HH39X.17","Roster to check the consent for interview boys 15-17"
"115","HH39X.18","Roster to check the consent for interview boys 15-17"
"116","HH39X.19","Roster to check the consent for interview boys 15-17"
"117","HH39X.20","Roster to check the consent for interview boys 15-17"
"118","HH39X.21","Roster to check the consent for interview boys 15-17"
"119","HH39X.22","Roster to check the consent for interview boys 15-17"
"120","HH39X.23","Roster to check the consent for interview boys 15-17"
"121","HH39X.24","Roster to check the consent for interview boys 15-17"
"122","HH39X.25","Roster to check the consent for interview boys 15-17"
"123","HH39X.26","Roster to check the consent for interview boys 15-17"
"124","HH39X.27","Roster to check the consent for interview boys 15-17"
"125","HH39X.28","Roster to check the consent for interview boys 15-17"
"126","HH39X.29","Roster to check the consent for interview boys 15-17"
"127","HH39X.30","Roster to check the consent for interview boys 15-17"
"128","HH39X.31","Roster to check the consent for interview boys 15-17"
"129","HH39X.32","Roster to check the consent for interview boys 15-17"
"130","HH39X.33","Roster to check the consent for interview boys 15-17"
"131","HH39X.34","Roster to check the consent for interview boys 15-17"
"132","HH39X.35","Roster to check the consent for interview boys 15-17"
"133","HH39X.36","Roster to check the consent for interview boys 15-17"
"134","HH39X.37","Roster to check the consent for interview boys 15-17"
"135","HH39X.38","Roster to check the consent for interview boys 15-17"
"136","HH39X.39","Roster to check the consent for interview boys 15-17"
"137","HH39X.40","Roster to check the consent for interview boys 15-17"
"138","HH39X.41","Roster to check the consent for interview boys 15-17"
"139","HH39X.42","Roster to check the consent for interview boys 15-17"
"140","HH39X.43","Roster to check the consent for interview boys 15-17"
"141","HH39X.44","Roster to check the consent for interview boys 15-17"
"142","HH39X.45","Roster to check the consent for interview boys 15-17"
"143","HH39X.46","Roster to check the consent for interview boys 15-17"
"144","HH39X.47","Roster to check the consent for interview boys 15-17"
"145","HH39X.48","Roster to check the consent for interview boys 15-17"
"146","HH39X.49","Roster to check the consent for interview boys 15-17"
"147","HH39X.50","Roster to check the consent for interview boys 15-17"
"148","HH39","Consent for interview boys 15-17"
"149","HH43","Women selected for later interview prompt"
"150","HH44","Consent for Water Quality Testing"
"151","HH46","Result of HH interview"
"152","HH47","Respondent to HH questionnaire"
"153","HH48","Number of HH members"
"154","HH49","Number of women 15-49 years"
"155","HH50","Number of men 15-49 years [If household is selected for Questionnaire for Men]"
"156","HH50A","Number of men 15 - 49 years in interviewed households"
"157","HH51","Number of children under age 5"
"158","HH52","Number of children age 5-17"
"159","HH53","Number of woman' questionnaires completed"
"160","HH54","Number of man' questionnaires completed [If household is selected for Questionnaire for Men]"
"161","HH55","Number of under - 5 questionnaires completed"
"162","HH56","Number of CF questionnaires completed (age 5-17)"
"163","HH58","Number of woman' DV questionnaires completedV"
"164","INTROHL","Introduction HH Listing"
"165","HHAUX","Other household members"
"166","HHWQ","Water Quality prompt"
"167","HHFIN","Finish"
"168","HC1A","Religion of household head"
"169","HC1B","Language of household head"
"170","HC2","Ethnic group of household head"
"171","HC2A","Type of house for the main house"
"172","HC3","Number of rooms used for sleeping"
"173","HC4","Main material of floor"
"174","HC5","Main material of roof"
"175","HC6","Main material of exterior wall"
"176","HC7A","Household have: Fixed telephone line"
"177","HC7B","Household have: Radio"
"178","HC7C","Household have: Table"
"179","HC7D","Household have: Bed"
"180","HC7E","Household have: Sofa"
"181","HC7F","Household have: Chair"
"182","HC7G","Household have: Food safe"
"183","HC7H","Household have: Cupboard"
"184","HC8","Household have Electricity"
"185","HC9A","Household have: Television"
"186","HC9B","Household have: Refrigerator"
"187","HC9C","Household have: Washing Machine"
"188","HC9D","Household have: Kettle"
"189","HC9E","Household have: Iron"
"190","HC9F","Household have: Fan"
"191","HC9G","Household have: A Freezer"
"192","HC10A","Any member of household own: Wristwatch"
"193","HC10B","Any member of household own: Bicycle"
"194","HC10C","Any member of household own: Motorcycle or scooter"
"195","HC10D","Any member of household own: Animal-drawn cart"
"196","HC10E","Any member of household own: Car, truck or van"
"197","HC10F","Any member of household own: Boat with motor"
"198","HC10G","Any member of household own: Canoe"
"199","HC10H","Any member of household own: Fishing line"
"200","HC10I","Any member of household own: Fishing net"
"201","HC10J","Any member of household own: Fishing spear"
"202","HC11","Any member have a computer or tablet"
"203","HC12","Any member have a mobile telephone"
"204","HC13","Internet access at home"
"205","HC14","Household owns the dwelling"
"206","HC15","Any household member own land that can be used for agriculture"
"207","HC16","Hectares of agricultural land members of household owns"
"208","HC17","Household own any animals"
"209","HC18A","Milk cows or bulls"
"210","HC18B","Other cattle"
"211","HC18C","Horses, donkeys or mules"
"212","HC18D","Goats"
"213","HC18E","Sheep"
"214","HC18F","Chickens"
"215","HC18G","Pigs"
"216","HC18H","Ducks"
"217","HC19","Any household member own bank account"
"218","ST2.1","Aware of OLD AGE PENSION BENEFIT"
"219","ST2.2","Aware of ONE GOVERNMENT GRANT"
"220","ST2.3","Aware of SSAB/BSL EDUCATION SUPPORT"
"221","ST2.4","Aware of ANY RETIREMENT PENSION/BENEFIT"
"222","ST2.5","Aware of ANY OTHER EXTERNAL ASSISTANCE PROGRAMME"
"223","ST3.1","Received assistance through OLD AGE PENSION BENEFIT"
"224","ST3.2","Received assistance through ONE GOVERNMENT GRANT"
"225","ST3.3","Received assistance through SSAB/BSL EDUCATION SUPPORT"
"226","ST3.4","Received assistance through ANY RETIREMENT PENSION/BENEFIT"
"227","ST3.5","Received assistance through ANY OTHER EXTERNAL ASSISTANCE PROGRAMME"
"228","ST4U.1","Last time assistance was received (unit): OLD AGE PENSION BENEFIT"
"229","ST4U.2","Last time assistance was received (unit): ONE GOVERNMENT GRANT"
"230","ST4U.3","Last time assistance was received (unit): SSAB/BSL EDUCATION SUPPORT"
"231","ST4U.4","Last time assistance was received (unit): ANY RETIREMENT PENSION/BENEFIT"
"232","ST4U.5","Last time assistance was received (unit): ANY OTHER EXTERNAL ASSISTANCE PROGRAMME"
"233","ST4N.1","Last time assistance was received (number): OLD AGE PENSION BENEFIT"
"234","ST4N.2","Last time assistance was received (number): ONE GOVERNMENT GRANT"
"235","ST4N.3","Last time assistance was received (number): SSAB/BSL EDUCATION SUPPORT"
"236","ST4N.4","Last time assistance was received (number): ANY RETIREMENT PENSION/BENEFIT"
"237","ST4N.5","Last time assistance was received (number): ANY OTHER EXTERNAL ASSISTANCE PROGRAMME"
"238","EU1","Type of cookstove mainly used for cooking"
"239","EU4","Type of energy source for cookstove"
"240","EU5","Place for cooking"
"241","EU9","Type of lighting in household"
"242","WS1","Main source of drinking water"
"243","WS1A","Supplier for drinking water"
"244","WS1B","Is the pipe metered or not metered"
"245","WS2","Main source of water used for other purposes (if bottled water used for drinking)"
"246","WS3","Location of the water source"
"247","WS4","Time (in minutes) to get water and come back"
"248","WS5","Person collecting water"
"249","WS6","Number of times person collected water in the last seven days"
"250","WS7","There been any time in the last month without sufficient water"
"251","WS8","Main reason without sufficient water"
"252","WS9","Treat water to make safer for drinking"
"253","WS10A","Water treatment: Boil"
"254","WS10B","Water treatment: Add bleach/chlorine"
"255","WS10C","Water treatment: Strain it through a cloth"
"256","WS10D","Water treatment: Use water filter"
"257","WS10E","Water treatment: Solar disinfection"
"258","WS10F","Water treatment: Let it stand and settle"
"259","WS10X","Water treatment: Other"
"260","WS10Z","Water treatment: DK"
"261","WS10NR","Water treatment: No response"
"262","WS11","Type of toilet facility"
"263","WS12","Pit latrine or septic tank ever been emptied"
"264","WS13","Place the contents were emptied"
"265","WS14","Location of the toilet facility"
"266","WS15","Toilet facility shared"
"267","WS16","Toilet shared with other household or with general public"
"268","WS17","Households using this toilet facility"
"269","HW1","Place where household members most often wash their hands"
"270","HW2","Water available at the place for handwashing"
"271","HW3","Soap or detergent present at place of handwashing"
"272","HW4","Usual place for handwashing"
"273","HW5","Soap/other material available for washing hands"
"274","HW6","Hand washing material shown"
"275","HW7A","Bar soap"
"276","HW7B","Detergent (Powder / Liquid / Paste)"
"277","HW7NR","No response"
"278","SA1","Salt iodization test outcome"
"279","SA2","Salt iodization recheck test outcome"
"280","WQ1","Cluster number"
"281","WQ2","Household number"
"282","measurer_id","Measurer number"
"283","WQ4","Interviewer number"
"284","WQ5D","Day of water quality test"
"285","WQ5M","Month of water quality test"
"286","WQ5Y","Year of water quality test"
"287","WQ6","HH selected for blank testing"
"288","WQ8","Consent for water quality test"
"289","WQ31","Result of water quality test"
"290","WQ10H","Start of water quality test - Hour"
"291","WQ10M","Start of water quality test - Minutes"
"292","WQ23H","End of water quality test - Hour"
"293","WQ23M","End of water quality test - Minutes"
"294","HH_water_sample_provided","A glass of water that you would give to a child to drink was provided"
"295","observe_HH_sample_collection","Water was collected from the source"
"296","WQ14","Done anything to the water to make it safer to drink"
"297","WQ15A","Water treatment: Boiled It"
"298","WQ15C","Water treatment: Strained it through a cloth"
"299","WQ15D","Water treatment: Used a water filter"
"300","WQ15E","Water treatment: Solar disinfection"
"301","WQ15F","Water treatment: Let it stand and settle"
"302","WQ15X","Water treatment: Other"
"303","WQ15Z","Water treatment: DK"
"304","WQ15NR","Water treatment: No response"
"305","source_HH_sample","Source of water where the glass of water was collected"
"306","permission_water_sample_SC","Main source of water was shown"
"307","EC_SC_tst_conducted","Source water sample collected"
"308","WQ20","HH selected for blank testing"
"309","WQ21","Blank water test available"
"310","WQ24D","Day of recording test results"
"311","WQ24M","Month of recording test results"
"312","WQ24Y","Year of recording test results"
"313","WQ25H","Time of recording test results - Hour"
"314","WQ25M","Time of recording test results - Minutes"
"315","EC_100_H","Household water test (100ml)"
"316","EC_100_S","Source water test (100ml)"
"317","EC_100_B","Blank water test (100ml)"
"318","hhsex","Sex of household head"
"319","HHAGE","Age of household head"
"320","ethnicity","Ethnicity of household head"
"321","religion","Religion of household head"
"322","helevel","Education of household head"
"323","hhweight","Household sample weight"
"324","wqhweight","Weight for household WQT"
"325","wqsweight","Weight for source WQT"
"326","wscore","Combined wealth score"
