"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","HL4","Sex"
"4","childLN","Child's line number"
"5","UF4","Mother / Caretaker's line number"
"6","BD2","Child ever been breastfed"
"7","BD3","Child still being breastfed"
"8","CAGED","Age (in days)"
"9","HAZ2","Height for age z-score WHO"
"10","WAZ2","Weight for age z-score WHO"
"11","WHZ2","Weight for height z-score WHO"
"12","HAZFLAG","Height for age flag WHO"
"13","WAZFLAG","Weight for age flag WHO"
"14","WHZFLAG","Weight for height flag WHO"
"15","melevel","Mother's education"
"16","HH3","Interviewer number"
"17","HH4","Supervisor number"
"18","HH5D","Day of interview"
"19","HH5M","Month of interview"
"20","HH5Y","Year of interview"
"21","area_type","Area"
"22","region","Region"
"23","HH8","HH selected for Questionnaire for Men"
"24","HH11H","Start of interview - Hour"
"25","HH11M","Start of interview - Minutes"
"26","HH12","Consent"
"27","HH46","Result of HH interview"
"28","HH13H","End of interview - Hour"
"29","HH13M","End of interview - Minutes"
"30","HH14","Language of the Questionnaire"
"31","HH15","Language of the Interview"
"32","HH16","Native language of the Respondent"
"33","HH17","Translator used"
"34","HH26A","Rank number of the selected child"
"35","HH26B","Child line number"
"36","HH26C","Child's age"
"37","HH33","Consent for interview girls 15-17"
"38","HH39","Consent for interview boys 15-17"
"39","HH47","Respondent to HH questionnaire"
"40","HH48","Number of HH members"
"41","HH49","Number of women 15-49 years"
"42","HH50","Number of men 15-49 years [If household is selected for Questionnaire for Men]"
"43","HH51","Number of children under age 5"
"44","HH52","Number of children age 5-14"
"45","HH53","Number of woman' questionnaires completed"
"46","HH54","Number of man' questionnaires completed [If household is selected for Questionnaire for Men]"
"47","HH55","Number of under - 5 questionnaires completed"
"48","HH56","Number of CF questionnaires completed (age 5-14)"
"49","HHFID","Day of interview"
"50","HHFIM","Month of interview"
"51","HHFIY","Year of interview"
"52","HC1A","Religion of household head"
"53","HC1B","Language of household head"
"54","HC3","Number of rooms used for sleeping"
"55","HC4","Main material of floor"
"56","HC5","Main material of roof"
"57","HC6","Main material of exterior wall"
"58","HC7A","Household have: Fixed telephone line"
"59","HC7B","Household have: Transistor radio"
"60","HC7C","Household have: Bed"
"61","HC7D","Household have: Dining table"
"62","HC7E","Household have: Sofa / Living room set"
"63","HC7F","Household have: Wardrobe"
"64","HC7G","Household have: Showcase"
"65","HC7H","Household have: Pantry cabinet"
"66","HC7I","Household have: Water tank/ Big water jar"
"67","HC7J","Household have: Charcoal stove"
"68","HC8","Household have electricity"
"69","HC9A","Household have: Plain television set"
"70","HC9B","Household have: Television (LCD/LED/Plasma)"
"71","HC9C","Household have: VCD/DVD Player"
"72","HC9D","Household have: Blu-ray Player"
"73","HC9E","Household have: Electrical fan"
"74","HC9F","Household have: Refrigerator"
"75","HC9G","Household have: Top load washer"
"76","HC9H","Household have: Front load washer"
"77","HC9I","Household have: Cloths dryer"
"78","HC9J","Household have: Air conditioner"
"79","HC9K","Household have: Air purifier"
"80","HC9L","Household have: Microwave oven"
"81","HC9M","Household have: Water heater in bathroom"
"82","HC9N","Household have: Electrical water pump"
"83","HC10A","Any member of household own: Wristwatch"
"84","HC10B","Any member of household own: Bicycle"
"85","HC10C","Any member of household own: Motorcycle or scooter"
"86","HC10E","Any member of household own: Car, truck or van"
"87","HC10F","Any member of household own: Motor boat"
"88","HC10G","Any member of household own: 2-wheel tractor (walking tractor)"
"89","HC10H","Any member of household own: 4-wheel tractor"
"90","HC10I","Any member of household own: Large Motorcycle (Big bike)"
"91","HC11","Any member have a computer"
"92","HC11AA","Type of computer: Desktop computer"
"93","HC11AB","Type of computer: Laptop"
"94","HC11AC","Type of computer: Tablet"
"95","HC12","Any member have a mobile telephone"
"96","HC12AA","Type of phone: Smart phone"
"97","HC12AB","Type of phone: Keypad mobile phone"
"98","HC13","Internet access at home"
"99","HC14","Household owns the dwelling"
"100","HC15","Any household member own land that can be used for agriculture"
"101","HC16","Rais of agricultural land members of household owns"
"102","HC17","Household own any animals"
"103","HC18A","Bulls or milk cows"
"104","HC18B","Buffaloes"
"105","HC18C","Horses, donkeys or mules"
"106","HC18D","Goats"
"107","HC18E","Sheep"
"108","HC18F","Chickens"
"109","HC18G","Pigs"
"110","HC18H","Ducks or geese"
"111","HC19","Any household member own bank account"
"112","HC20","Any household member own credit card"
"113","ST2.1","Aware of State Welfare Card"
"114","ST2.2","Aware of Old Age Allowance"
"115","ST2.3","Aware of Child Support Grant"
"116","ST2.4","Aware of Any Retirement Pension"
"117","ST2.5","Aware of Any Other External Assistance Programme"
"118","ST3.1","Received assistance through State Welfare Card"
"119","ST3.2","Received assistance through Old Age Allowance"
"120","ST3.3","Received assistance through Child Support Grant"
"121","ST3.4","Received assistance through Any Retirement Pension"
"122","ST3.5","Received assistance through Any Other External Assistance Programme"
"123","ST4U.1","Last time State Welfare Card was received (unit)"
"124","ST4U.2","Last time Old Age Allowance was received (unit)"
"125","ST4U.3","Last time Child Support Grant was received (unit)"
"126","ST4U.4","Last time Any Retirement Pension was received (unit)"
"127","ST4U.5","Last time Any Other External Assistance Programme was received (unit)"
"128","ST4N.1","Last time State Welfare Card was received (number)"
"129","ST4N.2","Last time Old Age Allowance was received (number)"
"130","ST4N.3","Last time Child Support Grant was received (number)"
"131","ST4N.4","Last time Any Retirement Pension was received (number)"
"132","ST4N.5","Last time Any Other External Assistance Programme was received (number)"
"133","EU1","Type of cookstove mainly used for cooking"
"134","EU2","Cookstove have a chimney"
"135","EU4","Type of energy source for cookstove"
"136","EU5","Place for cooking"
"137","EU9","Type of lighting in household"
"138","WS1","Main source of drinking water"
"139","WS2","Main source of water used for other purposes (if bottled water used for drinking)"
"140","WS3","Location of the water source"
"141","WS4","Time (in minutes) to get water and come back"
"142","WS5","Person collecting water"
"143","WS6","Number of times person collected water in the last seven days"
"144","WS7","There been any time in the last month without sufficient water"
"145","WS8","Main reason without sufficient water"
"146","WS9","Treat water to make safer for drinking"
"147","WS10A","Water treatment: Boil"
"148","WS10B","Water treatment: Add bleach/chlorine"
"149","WS10C","Water treatment: Use filter cloth"
"150","WS10D","Water treatment: Use water filter"
"151","WS10E","Water treatment: Sunlight Exposure (Solar disinfection)"
"152","WS10F","Water treatment: Let it stand and settle"
"153","WS10X","Water treatment: Other"
"154","WS10Z","Water treatment: DK"
"155","WS11","Type of toilet facility"
"156","WS12","Pit latrine or septic tank ever been emptied"
"157","WS13","Place the contents were emptied"
"158","WS14","Location of the toilet faciltity"
"159","WS15","Toilet facility shared"
"160","WS16","Toilet shared with other household or with general public"
"161","WS17","Households using this toilet facility"
"162","HW1","Place where household members most often wash their hands"
"163","HW2","Water available at the place for handwashing"
"164","HW3","Soap or detergent present at place of handwashing"
"165","HW4","Usual place for handwashing"
"166","HW5","Soap/other material available for washing hands"
"167","HW6","Hand washing material shown"
"168","HW7A","Bar soap"
"169","HW7B","Detergent (Powder / Liquid / Paste)"
"170","HW7D","Dishwashing liquid"
"171","SA1","Salt iodization test outcome (Iodate)"
"172","SA2","Salt iodization recheck test outcome (Iodate)"
"173","SA3","Salt iodization test outcome (Iodide)"
"174","SA4","Salt iodization recheck test outcome (Iodide)"
"175","hhsex","Sex of household head"
"176","HHAGE","Age of household head"
"177","HH50A","Number of men 15 - 49 years in interviewed households"
"178","language","Language of household head"
"179","helevel","Education of household head"
"180","wscore","Combined wealth score"
"181","windex5","Wealth index quintile"
"182","windex10","Wealth index deciles"
"183","wscoreu","Urban wealth score"
"184","windex5u","Urban wealth index quintile"
"185","windex10u","Urban wealth index deciles"
"186","wscorer","Rural wealth score"
"187","windex5r","Rural wealth index quintile"
"188","windex10r","Rural wealth index deciles"
"189","hhweight","Household sample weight"
"190","PSU","Primary sampling unit"
"191","ListCat","Listing information on presence of child under-five in HH"
"192","dstratum","Design stratum"
"193","stratum","Sample strata for sampling errors"
"194","HH5M_lab","Month of interview"
"195","area_type_lab","Area"
"196","region_lab","Region"
"197","HH8_lab","HH selected for Questionnaire for Men"
"198","HH12_lab","Consent"
"199","HH46_lab","Result of HH interview"
"200","HH14_lab","Language of the Questionnaire"
"201","HH15_lab","Language of the Interview"
"202","HH16_lab","Native language of the Respondent"
"203","HH17_lab","Translator used"
"204","HH26B_lab","Child line number"
"205","HH33_lab","Consent for interview girls 15-17"
"206","HH39_lab","Consent for interview boys 15-17"
"207","HHFIM_lab","Month of interview"
"208","HC1A_lab","Religion of household head"
"209","HC1B_lab","Language of household head"
"210","HC3_lab","Number of rooms used for sleeping"
"211","HC4_lab","Main material of floor"
"212","HC5_lab","Main material of roof"
"213","HC6_lab","Main material of exterior wall"
"214","HC7A_lab","Household have: Fixed telephone line"
"215","HC7B_lab","Household have: Transistor radio"
"216","HC7C_lab","Household have: Bed"
"217","HC7D_lab","Household have: Dining table"
"218","HC7E_lab","Household have: Sofa / Living room set"
"219","HC7F_lab","Household have: Wardrobe"
"220","HC7G_lab","Household have: Showcase"
"221","HC7H_lab","Household have: Pantry cabinet"
"222","HC7I_lab","Household have: Water tank/ Big water jar"
"223","HC7J_lab","Household have: Charcoal stove"
"224","HC8_lab","Household have electricity"
"225","HC9A_lab","Household have: Plain television set"
"226","HC9B_lab","Household have: Television (LCD/LED/Plasma)"
"227","HC9C_lab","Household have: VCD/DVD Player"
"228","HC9D_lab","Household have: Blu-ray Player"
"229","HC9E_lab","Household have: Electrical fan"
"230","HC9F_lab","Household have: Refrigerator"
"231","HC9G_lab","Household have: Top load washer"
"232","HC9H_lab","Household have: Front load washer"
"233","HC9I_lab","Household have: Cloths dryer"
"234","HC9J_lab","Household have: Air conditioner"
"235","HC9K_lab","Household have: Air purifier"
"236","HC9L_lab","Household have: Microwave oven"
"237","HC9M_lab","Household have: Water heater in bathroom"
"238","HC9N_lab","Household have: Electrical water pump"
"239","HC10A_lab","Any member of household own: Wristwatch"
"240","HC10B_lab","Any member of household own: Bicycle"
"241","HC10C_lab","Any member of household own: Motorcycle or scooter"
"242","HC10E_lab","Any member of household own: Car, truck or van"
"243","HC10F_lab","Any member of household own: Motor boat"
"244","HC10G_lab","Any member of household own: 2-wheel tractor (walking tractor)"
"245","HC10H_lab","Any member of household own: 4-wheel tractor"
"246","HC10I_lab","Any member of household own: Large Motorcycle (Big bike)"
"247","HC11_lab","Any member have a computer"
"248","HC11AA_lab","Type of computer: Desktop computer"
"249","HC11AB_lab","Type of computer: Laptop"
"250","HC11AC_lab","Type of computer: Tablet"
"251","HC12_lab","Any member have a mobile telephone"
"252","HC12AA_lab","Type of phone: Smart phone"
"253","HC12AB_lab","Type of phone: Keypad mobile phone"
"254","HC13_lab","Internet access at home"
"255","HC14_lab","Household owns the dwelling"
"256","HC15_lab","Any household member own land that can be used for agriculture"
"257","HC16_lab","Rais of agricultural land members of household owns"
"258","HC17_lab","Household own any animals"
"259","HC18A_lab","Bulls or milk cows"
"260","HC18B_lab","Buffaloes"
"261","HC18C_lab","Horses, donkeys or mules"
"262","HC18D_lab","Goats"
"263","HC18E_lab","Sheep"
"264","HC18F_lab","Chickens"
"265","HC18G_lab","Pigs"
"266","HC18H_lab","Ducks or geese"
"267","HC19_lab","Any household member own bank account"
"268","HC20_lab","Any household member own credit card"
"269","ST2.1_lab","Aware of State Welfare Card"
"270","ST2.2_lab","Aware of Old Age Allowance"
"271","ST2.3_lab","Aware of Child Support Grant"
"272","ST2.4_lab","Aware of Any Retirement Pension"
"273","ST2.5_lab","Aware of Any Other External Assistance Programme"
"274","ST3.1_lab","Received assistance through State Welfare Card"
"275","ST3.2_lab","Received assistance through Old Age Allowance"
"276","ST3.3_lab","Received assistance through Child Support Grant"
"277","ST3.4_lab","Received assistance through Any Retirement Pension"
"278","ST3.5_lab","Received assistance through Any Other External Assistance Programme"
"279","ST4U.1_lab","Last time State Welfare Card was received (unit)"
"280","ST4U.2_lab","Last time Old Age Allowance was received (unit)"
"281","ST4U.3_lab","Last time Child Support Grant was received (unit)"
"282","ST4U.4_lab","Last time Any Retirement Pension was received (unit)"
"283","ST4U.5_lab","Last time Any Other External Assistance Programme was received (unit)"
"284","ST4N.1_lab","Last time State Welfare Card was received (number)"
"285","ST4N.2_lab","Last time Old Age Allowance was received (number)"
"286","ST4N.3_lab","Last time Child Support Grant was received (number)"
"287","ST4N.4_lab","Last time Any Retirement Pension was received (number)"
"288","ST4N.5_lab","Last time Any Other External Assistance Programme was received (number)"
"289","EU1_lab","Type of cookstove mainly used for cooking"
"290","EU2_lab","Cookstove have a chimney"
"291","EU4_lab","Type of energy source for cookstove"
"292","EU5_lab","Place for cooking"
"293","EU9_lab","Type of lighting in household"
"294","WS1_lab","Main source of drinking water"
"295","WS2_lab","Main source of water used for other purposes (if bottled water used for drinking)"
"296","WS3_lab","Location of the water source"
"297","WS4_lab","Time (in minutes) to get water and come back"
"298","WS5_lab","Person collecting water"
"299","WS6_lab","Number of times person collected water in the last seven days"
"300","WS7_lab","There been any time in the last month without sufficient water"
"301","WS8_lab","Main reason without sufficient water"
"302","WS9_lab","Treat water to make safer for drinking"
"303","WS10A_lab","Water treatment: Boil"
"304","WS10B_lab","Water treatment: Add bleach/chlorine"
"305","WS10C_lab","Water treatment: Use filter cloth"
"306","WS10D_lab","Water treatment: Use water filter"
"307","WS10E_lab","Water treatment: Sunlight Exposure (Solar disinfection)"
"308","WS10F_lab","Water treatment: Let it stand and settle"
"309","WS10X_lab","Water treatment: Other"
"310","WS10Z_lab","Water treatment: DK"
"311","WS11_lab","Type of toilet facility"
"312","WS12_lab","Pit latrine or septic tank ever been emptied"
"313","WS13_lab","Place the contents were emptied"
"314","WS14_lab","Location of the toilet faciltity"
"315","WS15_lab","Toilet facility shared"
"316","WS16_lab","Toilet shared with other household or with general public"
"317","WS17_lab","Households using this toilet facility"
"318","HW1_lab","Place where household members most often wash their hands"
"319","HW2_lab","Water available at the place for handwashing"
"320","HW3_lab","Soap or detergent present at place of handwashing"
"321","HW4_lab","Usual place for handwashing"
"322","HW5_lab","Soap/other material available for washing hands"
"323","HW6_lab","Hand washing material shown"
"324","HW7A_lab","Bar soap"
"325","HW7B_lab","Detergent (Powder / Liquid / Paste)"
"326","HW7D_lab","Dishwashing liquid"
"327","SA1_lab","Salt iodization test outcome (Iodate)"
"328","SA2_lab","Salt iodization recheck test outcome (Iodate)"
"329","SA3_lab","Salt iodization test outcome (Iodide)"
"330","SA4_lab","Salt iodization recheck test outcome (Iodide)"
"331","hhsex_lab","Sex of household head"
"332","language_lab","Language of household head"
"333","helevel_lab","Education of household head"
"334","windex5_lab","Wealth index quintile"
"335","windex10_lab","Wealth index deciles"
"336","windex5u_lab","Urban wealth index quintile"
"337","windex10u_lab","Urban wealth index deciles"
"338","windex5r_lab","Rural wealth index quintile"
"339","windex10r_lab","Rural wealth index deciles"
"340","ListCat_lab","Listing information on presence of child under-five in HH"
"341","country","NULL"
