"","name","label"
"1","clust_num","Numéro de grappe"
"2","HH_num","Numéro de ménage"
"3","childLN","Numéro de ligne de l'enfant"
"4","UF4","Numéro de ligne du/de la gardien(ne) de l'enfant"
"5","BD2","L'enfant a été allaité"
"6","BD3","L'enfant est encore allaité"
"7","CA1","L'enfant a eu la diarrhée pendant les deux dernières semaines"
"8","CA14","L'enfant a eu de la fièvre au cours de 2 dernières semaines"
"9","CA16","Pendant les deux dernières semaines, l'enfant a été malade avec de la toux"
"10","CA17","Quand l'enfant était malade avec de la toux, il/elle avait des difficultés pour respirer"
"11","CA18","Les difficultés respiratoires étaient à cause d'un problème de bronches, ou à un nez bouché ou qui coulait"
"12","CA20","A recherché des conseils ou un traitement pour la maladie quelque part"
"13","HL4","Sexe"
"14","CAGED","Age in days"
"15","HAZ2","Height for age z-score WHO"
"16","WAZ2","Weight for age z-score WHO"
"17","WHZ2","Weight for height z-score WHO"
"18","HAZFLAG","Height for age flag WHO"
"19","WAZFLAG","Weight for age flag WHO"
"20","WHZFLAG","Weight for height flag WHO"
"21","melevel","Niveau d'instruction de la mère"
"22","HH3","Numéro de l'enquêteur"
"23","HH4","Numéro du chef d'équipe"
"24","HH5D","Jour de l'interview"
"25","HH5M","Mois de l'interview"
"26","HH5Y","Année de l'enquête"
"27","area_type","Milieu"
"28","region","Région"
"29","HH8","Ménage sélectionné pour le questionnaire hommes"
"30","HH_selected_household","Ménage sélectionné pour le test de la qualité de l'eau"
"31","HH_selected_blank","Ménage sélectionné pour le test à blanc"
"32","HH11H","Début de l'interview - Heure"
"33","HH11M","Début de l'interview - Minutes"
"34","HH12","Consentement"
"35","HH13H","Fin de l'interview - Heure"
"36","HH13M","Fin de l'interview - Minutes"
"37","HH14","Langue du questionnaire"
"38","HH15","Langue de l'interview"
"39","HH16","Langue maternelle du répondant"
"40","HH17","Utilisation de traducteur"
"41","HH26A","Rang de l'enfant sélectionné"
"42","HH26B","Numéro de ligne de l'enfant sélectionné"
"43","HH26C","Age de l'enfant sélectionné"
"44","HH33X.01","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"45","HH33X.02","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"46","HH33X.03","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"47","HH33X.04","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"48","HH33X.05","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"49","HH33X.06","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"50","HH33X.07","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"51","HH33X.08","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"52","HH33X.09","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"53","HH33X.10","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"54","HH33X.11","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"55","HH33X.12","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"56","HH33X.13","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"57","HH33X.14","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"58","HH33X.15","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"59","HH33X.16","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"60","HH33X.17","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"61","HH33X.18","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"62","HH33X.19","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"63","HH33X.20","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"64","HH33X.21","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"65","HH33X.22","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"66","HH33X.23","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"67","HH33X.24","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"68","HH33X.25","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"69","HH33X.26","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"70","HH33X.27","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"71","HH33X.28","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"72","HH33X.29","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"73","HH33X.30","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"74","HH33X.31","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"75","HH33X.32","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"76","HH33X.33","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"77","HH33X.34","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"78","HH33X.35","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"79","HH33X.36","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"80","HH33X.37","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"81","HH33X.38","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"82","HH33X.39","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"83","HH33X.40","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"84","HH33X.41","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"85","HH33X.42","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"86","HH33X.43","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"87","HH33X.44","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"88","HH33X.45","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"89","HH33X.46","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"90","HH33X.47","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"91","HH33X.48","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"92","HH33X.49","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"93","HH33X.50","Liste pour vérifier le consentement pour les filles de 15-17 ans"
"94","HH33","Consentement pour les filles de 15-17 ans"
"95","HH39X.01","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"96","HH39X.02","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"97","HH39X.03","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"98","HH39X.04","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"99","HH39X.05","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"100","HH39X.06","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"101","HH39X.07","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"102","HH39X.08","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"103","HH39X.09","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"104","HH39X.10","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"105","HH39X.11","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"106","HH39X.12","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"107","HH39X.13","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"108","HH39X.14","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
"109","HH39X.15","Liste pour vérifier le consentement pour les garçons de 15-17 ans"
